"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0592423010917128,0.00082730787669345,"[ 0.058 , 0.061 ]",1033540,14898.7524645522,"[ 1,004,338 , 1,062,742 ]"
"Participated for illspouse leave",0.00409492616637185,0.000333427025860013,"[ 0.0034 , 0.0047 ]",71440,5889.50846845473,"[ 59,897 , 82,983 ]"
"Participated for illchild leave",0.0154706127142184,0.000477939480339766,"[ 0.015 , 0.016 ]",269900,8676.05469092951,"[ 252,895 , 286,905 ]"
"Participated for illparent leave",0.00879916175531555,0.000325106045831707,"[ 0.0082 , 0.0094 ]",153510,5742.7946158643,"[ 142,254 , 164,766 ]"
"Participated for matdis leave",0.00819386471840504,0.000408744206758512,"[ 0.0074 , 0.009 ]",142950,7114.05369673297,"[ 129,006 , 156,894 ]"
"Participated for bond leave",0.00483091233625168,0.000262795303292411,"[ 0.0043 , 0.0053 ]",84280,4605.59659544776,"[ 75,253 , 93,307 ]"
"Participated for  for own illness or maternal disability leave",0.0673994811412142,0.000871656899690012,"[ 0.066 , 0.069 ]",1175850,15629.6746607215,"[ 1,145,216 , 1,206,484 ]"
"Participated for ill relative or child bonding leave",0.0307262761965794,0.000605673218983131,"[ 0.03 , 0.032 ]",536050,11368.3919267414,"[ 513,768 , 558,332 ]"
"Participated for any reason",0.0946435797817033,0.00106185456249664,"[ 0.093 , 0.097 ]",1651150,20245.889088899,"[ 1,611,468 , 1,690,832 ]"
"Benefits Received ($), for own illness or maternal disability leave",291.076989034491,6.95163434932741,"[ 277 , 305 ]",5078123329.15595,122461323.634106,"[ 4,838,099,135 , 5,318,147,523 ]"
"Benefits Received ($), for for ill relative or child bonding leave",89.9297788575597,2.20643649284987,"[ 86 , 94 ]",1568913123.35341,40583022.521599,"[ 1,489,370,399 , 1,648,455,847 ]"
"Benefits Received ($), total",381.006767892051,7.27180877058636,"[ 367 , 395 ]",6647036452.50936,131033151.132094,"[ 6,390,211,476 , 6,903,861,429 ]"
