"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0592","0.00083","[ 0.058 , 0.061 ]","    1,033,540","     14,899","[ 1,004,338 , 1,062,742 ]"
"Participated for illspouse leave","  0.0041","0.00033","[ 0.0034 , 0.0047 ]","       71,440","      5,890","[ 59,897 , 82,983 ]"
"Participated for illchild leave","  0.0155","0.00048","[ 0.015 , 0.016 ]","      269,900","      8,676","[ 252,895 , 286,905 ]"
"Participated for illparent leave","  0.0088","0.00033","[ 0.0082 , 0.0094 ]","      153,510","      5,743","[ 142,254 , 164,766 ]"
"Participated for matdis leave","  0.0082","0.00041","[ 0.0074 , 0.009 ]","      142,950","      7,114","[ 129,006 , 156,894 ]"
"Participated for bond leave","  0.0048","0.00026","[ 0.0043 , 0.0053 ]","       84,280","      4,606","[ 75,253 , 93,307 ]"
"Participated for  for own illness or maternal disability leave","  0.0674","0.00087","[ 0.066 , 0.069 ]","    1,175,850","     15,630","[ 1,145,216 , 1,206,484 ]"
"Participated for ill relative or child bonding leave","  0.0307","0.00061","[ 0.03 , 0.032 ]","      536,050","     11,368","[ 513,768 , 558,332 ]"
"Participated for any reason","  0.0946","0.00106","[ 0.093 , 0.097 ]","    1,651,150","     20,246","[ 1,611,468 , 1,690,832 ]"
"Benefits Received ($), for own illness or maternal disability leave","291.0770","6.95163","[ 277 , 305 ]","5,078,123,329","122,461,324","[ 4,838,099,135 , 5,318,147,523 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 89.9298","2.20644","[ 86 , 94 ]","1,568,913,123"," 40,583,023","[ 1,489,370,399 , 1,648,455,847 ]"
"Benefits Received ($), total","381.0068","7.27181","[ 367 , 395 ]","6,647,036,453","131,033,151","[ 6,390,211,476 , 6,903,861,429 ]"
