"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0534287374134519,0.00102982739281053,"[ 0.051 , 0.055 ]",697120,13970.108625204,"[ 669,739 , 724,501 ]"
"Participated for illspouse leave",0.00219119750208083,0.000208859882982042,"[ 0.0018 , 0.0026 ]",28590,2729.30027662769,"[ 23,241 , 33,939 ]"
"Participated for illchild leave",0.0105129962000849,0.000490640404021934,"[ 0.0096 , 0.011 ]",137170,6357.54630340983,"[ 124,709 , 149,631 ]"
"Participated for illparent leave",0.019983659905301,0.000655610038314219,"[ 0.019 , 0.021 ]",260740,8833.38355331636,"[ 243,427 , 278,053 ]"
"Participated for matdis leave",0.0274424686112299,0.000831252080930369,"[ 0.026 , 0.029 ]",358060,10860.5828572872,"[ 336,773 , 379,347 ]"
"Participated for bond leave",0.000442991310319245,9.99587004409061e-05,"[ 0.00025 , 0.00064 ]",5780,1309.63735438479,"[ 3,213 , 8,347 ]"
"Participated for  for own illness or maternal disability leave",0.0699267148285593,0.00112704806343603,"[ 0.068 , 0.072 ]",912380,15326.0626059011,"[ 882,341 , 942,419 ]"
"Participated for ill relative or child bonding leave",0.033130844917786,0.00090091631342913,"[ 0.031 , 0.035 ]",432280,12073.296153081,"[ 408,616 , 455,944 ]"
"Participated for any reason",0.0935133196297267,0.00124004891290549,"[ 0.091 , 0.096 ]",1220130,17560.7958247911,"[ 1,185,711 , 1,254,549 ]"
"Benefits Received ($), for own illness or maternal disability leave",728.810119810688,16.7364681888215,"[ 696 , 762 ]",9509266647.84912,224642446.664452,"[ 9,068,967,452 , 9,949,565,843 ]"
"Benefits Received ($), for for ill relative or child bonding leave",56.7005411274484,2.03025507231056,"[ 53 , 61 ]",739809382.446964,26912478.1486583,"[ 687,060,925 , 792,557,840 ]"
"Benefits Received ($), total",785.510660938136,16.6103067522109,"[ 753 , 818 ]",10249076030.2961,224279245.505894,"[ 9,809,488,709 , 10,688,663,351 ]"
