"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.05343"," 0.00103","[ 0.051 , 0.055 ]","       697,120","     13,970","[ 669,739 , 724,501 ]"
"Participated for illspouse leave","  0.00219"," 0.00021","[ 0.0018 , 0.0026 ]","        28,590","      2,729","[ 23,241 , 33,939 ]"
"Participated for illchild leave","  0.01051"," 0.00049","[ 0.0096 , 0.011 ]","       137,170","      6,358","[ 124,709 , 149,631 ]"
"Participated for illparent leave","  0.01998"," 0.00066","[ 0.019 , 0.021 ]","       260,740","      8,833","[ 243,427 , 278,053 ]"
"Participated for matdis leave","  0.02744"," 0.00083","[ 0.026 , 0.029 ]","       358,060","     10,861","[ 336,773 , 379,347 ]"
"Participated for bond leave","  0.00044"," 0.00010","[ 0.00025 , 0.00064 ]","         5,780","      1,310","[ 3,213 , 8,347 ]"
"Participated for  for own illness or maternal disability leave","  0.06993"," 0.00113","[ 0.068 , 0.072 ]","       912,380","     15,326","[ 882,341 , 942,419 ]"
"Participated for ill relative or child bonding leave","  0.03313"," 0.00090","[ 0.031 , 0.035 ]","       432,280","     12,073","[ 408,616 , 455,944 ]"
"Participated for any reason","  0.09351"," 0.00124","[ 0.091 , 0.096 ]","     1,220,130","     17,561","[ 1,185,711 , 1,254,549 ]"
"Benefits Received ($), for own illness or maternal disability leave","728.81012","16.73647","[ 696 , 762 ]"," 9,509,266,648","224,642,447","[ 9,068,967,452 , 9,949,565,843 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 56.70054"," 2.03026","[ 53 , 61 ]","   739,809,382"," 26,912,478","[ 687,060,925 , 792,557,840 ]"
"Benefits Received ($), total","785.51066","16.61031","[ 753 , 818 ]","10,249,076,030","224,279,246","[ 9,809,488,709 , 10,688,663,351 ]"
