"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0274905737596856,0.000629113817962713,"[ 0.026 , 0.029 ]",479600,11177.830066699,"[ 457,691 , 501,509 ]"
"Participated for illspouse leave",7.4515733710574e-06,7.71190129269101e-06,"[ -0.0000077 , 0.000023 ]",130,134.629120178363,"[ -134 , 394 ]"
"Participated for illchild leave",6.0185784920079e-05,3.15799642286755e-05,"[ -0.0000017 , 0.00012 ]",1050,550.940105637627,"[ -30 , 2,130 ]"
"Participated for illparent leave",0.000643128101717416,0.000108929541326468,"[ 0.00043 , 0.00086 ]",11220,1902.1750708071,"[ 7,492 , 14,948 ]"
"Participated for matdis leave",0.0148870971994694,0.000504806735751468,"[ 0.014 , 0.016 ]",259720,8917.78644059163,"[ 242,241 , 277,199 ]"
"Participated for bond leave",0.00017253258343756,6.69213065440441e-05,"[ 0.000041 , 0.0003 ]",3010,1166.01243561122,"[ 725 , 5,295 ]"
"Participated for  for own illness or maternal disability leave",0.0423587554267516,0.000857471468330637,"[ 0.041 , 0.044 ]",738990,15359.3854043708,"[ 708,886 , 769,094 ]"
"Participated for ill relative or child bonding leave",0.000883298043446112,0.000122212238671439,"[ 0.00064 , 0.0011 ]",15410,2132.26757232764,"[ 11,231 , 19,589 ]"
"Participated for any reason",0.0432191255521329,0.000854294890903941,"[ 0.042 , 0.045 ]",754000,15319.63902969,"[ 723,974 , 784,026 ]"
"Benefits Received ($), for own illness or maternal disability leave",301.057247625223,11.3031301139768,"[ 279 , 323 ]",5252238720.92468,199105792.208758,"[ 4,861,991,368 , 5,642,486,074 ]"
"Benefits Received ($), for for ill relative or child bonding leave",1.59807990258119,0.294041947533511,"[ 1 , 2.2 ]",27880070.0188335,5133890.21396303,"[ 17,817,645 , 37,942,495 ]"
"Benefits Received ($), total",302.655327527804,11.2800535540209,"[ 281 , 325 ]",5280118790.94351,198733532.971021,"[ 4,890,601,066 , 5,669,636,516 ]"
