"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0274906"," 0.0006291","[ 0.026 , 0.029 ]","      479,600","     11,178","[ 457,691 , 501,509 ]"
"Participated for illspouse leave","  0.0000075"," 0.0000077","[ -0.0000077 , 0.000023 ]","          130","        135","[ -134 , 394 ]"
"Participated for illchild leave","  0.0000602"," 0.0000316","[ -0.0000017 , 0.00012 ]","        1,050","        551","[ -30 , 2,130 ]"
"Participated for illparent leave","  0.0006431"," 0.0001089","[ 0.00043 , 0.00086 ]","       11,220","      1,902","[ 7,492 , 14,948 ]"
"Participated for matdis leave","  0.0148871"," 0.0005048","[ 0.014 , 0.016 ]","      259,720","      8,918","[ 242,241 , 277,199 ]"
"Participated for bond leave","  0.0001725"," 0.0000669","[ 0.000041 , 0.0003 ]","        3,010","      1,166","[ 725 , 5,295 ]"
"Participated for  for own illness or maternal disability leave","  0.0423588"," 0.0008575","[ 0.041 , 0.044 ]","      738,990","     15,359","[ 708,886 , 769,094 ]"
"Participated for ill relative or child bonding leave","  0.0008833"," 0.0001222","[ 0.00064 , 0.0011 ]","       15,410","      2,132","[ 11,231 , 19,589 ]"
"Participated for any reason","  0.0432191"," 0.0008543","[ 0.042 , 0.045 ]","      754,000","     15,320","[ 723,974 , 784,026 ]"
"Benefits Received ($), for own illness or maternal disability leave","301.0572476","11.3031301","[ 279 , 323 ]","5,252,238,721","199,105,792","[ 4,861,991,368 , 5,642,486,074 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  1.5980799"," 0.2940419","[ 1 , 2.2 ]","   27,880,070","  5,133,890","[ 17,817,645 , 37,942,495 ]"
"Benefits Received ($), total","302.6553275","11.2800536","[ 281 , 325 ]","5,280,118,791","198,733,533","[ 4,890,601,066 , 5,669,636,516 ]"
