"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0192984795741152,0.000798632586617814,"[ 0.018 , 0.021 ]",251800,10703.1149671486,"[ 230,822 , 272,778 ]"
"Participated for illspouse leave",0.000598574763597457,0.00013083700615096,"[ 0.00034 , 0.00086 ]",7810,1708.84317595267,"[ 4,461 , 11,159 ]"
"Participated for illchild leave",3.8321047605471e-05,3.74501811430968e-05,"[ -0.000035 , 0.00011 ]",500,488.947849979934,"[ -458 , 1,458 ]"
"Participated for illparent leave",0.00221495655159622,0.000211210900603585,"[ 0.0018 , 0.0026 ]",28900,2799.9874999721,"[ 23,412 , 34,388 ]"
"Participated for matdis leave",0.0254842630785903,0.000700078732120365,"[ 0.024 , 0.027 ]",332510,9261.81056813407,"[ 314,357 , 350,663 ]"
"Participated for bond leave",0.0204871984708369,0.000818721938237195,"[ 0.019 , 0.022 ]",267310,10660.3529491288,"[ 246,416 , 288,204 ]"
"Participated for  for own illness or maternal disability leave",0.0447827426527055,0.00106970410861179,"[ 0.043 , 0.047 ]",584310,14593.747805139,"[ 555,706 , 612,914 ]"
"Participated for ill relative or child bonding leave",0.0233390508336361,0.000871834960880081,"[ 0.022 , 0.025 ]",304520,11475.177122816,"[ 282,029 , 327,011 ]"
"Participated for any reason",0.0679792391892493,0.00139648778683196,"[ 0.065 , 0.071 ]",886970,19129.4992093364,"[ 849,476 , 924,464 ]"
"Benefits Received ($), for own illness or maternal disability leave",706.048101544729,20.6255691928656,"[ 666 , 746 ]",9212275572.6011,271799923.991961,"[ 8,679,547,722 , 9,745,003,424 ]"
"Benefits Received ($), for for ill relative or child bonding leave",45.8520978376583,2.01261764064677,"[ 42 , 50 ]",598262582.872501,26546406.8958096,"[ 546,231,625 , 650,293,540 ]"
"Benefits Received ($), total",751.900199382387,21.0048927671382,"[ 711 , 793 ]",9810538155.4736,277319294.152308,"[ 9,266,992,339 , 10,354,083,972 ]"
