"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.019298"," 0.000799","[ 0.018 , 0.021 ]","      251,800","     10,703","[ 230,822 , 272,778 ]"
"Participated for illspouse leave","  0.000599"," 0.000131","[ 0.00034 , 0.00086 ]","        7,810","      1,709","[ 4,461 , 11,159 ]"
"Participated for illchild leave","  0.000038"," 0.000037","[ -0.000035 , 0.00011 ]","          500","        489","[ -458 , 1,458 ]"
"Participated for illparent leave","  0.002215"," 0.000211","[ 0.0018 , 0.0026 ]","       28,900","      2,800","[ 23,412 , 34,388 ]"
"Participated for matdis leave","  0.025484"," 0.000700","[ 0.024 , 0.027 ]","      332,510","      9,262","[ 314,357 , 350,663 ]"
"Participated for bond leave","  0.020487"," 0.000819","[ 0.019 , 0.022 ]","      267,310","     10,660","[ 246,416 , 288,204 ]"
"Participated for  for own illness or maternal disability leave","  0.044783"," 0.001070","[ 0.043 , 0.047 ]","      584,310","     14,594","[ 555,706 , 612,914 ]"
"Participated for ill relative or child bonding leave","  0.023339"," 0.000872","[ 0.022 , 0.025 ]","      304,520","     11,475","[ 282,029 , 327,011 ]"
"Participated for any reason","  0.067979"," 0.001396","[ 0.065 , 0.071 ]","      886,970","     19,129","[ 849,476 , 924,464 ]"
"Benefits Received ($), for own illness or maternal disability leave","706.048102","20.625569","[ 666 , 746 ]","9,212,275,573","271,799,924","[ 8,679,547,722 , 9,745,003,424 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 45.852098"," 2.012618","[ 42 , 50 ]","  598,262,583"," 26,546,407","[ 546,231,625 , 650,293,540 ]"
"Benefits Received ($), total","751.900199","21.004893","[ 711 , 793 ]","9,810,538,155","277,319,294","[ 9,266,992,339 , 10,354,083,972 ]"
