"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0467941611763856,0.00104694648827151,"[ 0.045 , 0.049 ]",816370,18503.8998592189,"[ 780,102 , 852,638 ]"
"Participated for illspouse leave",0.00152470655130867,0.000180810788419831,"[ 0.0012 , 0.0019 ]",26600,3165.74951630732,"[ 20,395 , 32,805 ]"
"Participated for illchild leave",0.00509114420628706,0.000282679021421983,"[ 0.0045 , 0.0056 ]",88820,5004.68430572798,"[ 79,011 , 98,629 ]"
"Participated for illparent leave",0.00457755884163572,0.000301613659865919,"[ 0.004 , 0.0052 ]",79860,5234.19907913331,"[ 69,601 , 90,119 ]"
"Participated for matdis leave",0.0197953912591898,0.000474038662599763,"[ 0.019 , 0.021 ]",345350,8309.27192959768,"[ 329,064 , 361,636 ]"
"Participated for bond leave",0.00487046299491344,0.000297792640705514,"[ 0.0043 , 0.0055 ]",84970,5187.15866346886,"[ 74,803 , 95,137 ]"
"Participated for  for own illness or maternal disability leave",0.0628729369172726,0.00101272163945717,"[ 0.061 , 0.065 ]",1096880,17982.0499387584,"[ 1,061,635 , 1,132,125 ]"
"Participated for ill relative or child bonding leave",0.0152705666291031,0.000524507532980736,"[ 0.014 , 0.016 ]",266410,9258.24119366092,"[ 248,264 , 284,556 ]"
"Participated for any reason",0.0722292470815626,0.00109419710866449,"[ 0.07 , 0.074 ]",1260110,19720.7551833088,"[ 1,221,457 , 1,298,763 ]"
"Benefits Received ($), for own illness or maternal disability leave",329.740835910979,9.88902365645253,"[ 310 , 349 ]",5752652028.48622,171208187.567016,"[ 5,417,083,981 , 6,088,220,076 ]"
"Benefits Received ($), for for ill relative or child bonding leave",27.8744664050258,1.16422378403538,"[ 26 , 30 ]",486297383.412751,20521599.5768987,"[ 446,075,048 , 526,519,719 ]"
"Benefits Received ($), total",357.615302316005,10.3739354337484,"[ 337 , 378 ]",6238949411.89897,179934448.449677,"[ 5,886,277,893 , 6,591,620,931 ]"
