"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","    0.251"," 0.0021","[ 0.25 , 0.25 ]","     3,270,740","     30,285","[ 3,211,382 , 3,330,098 ]"
"Participated for illspouse leave","    0.012"," 0.0005","[ 0.011 , 0.013 ]","       152,420","      6,531","[ 139,620 , 165,220 ]"
"Participated for illchild leave","    0.044"," 0.0009","[ 0.043 , 0.046 ]","       579,180","     11,939","[ 555,779 , 602,581 ]"
"Participated for illparent leave","    0.281"," 0.0022","[ 0.28 , 0.29 ]","     3,665,130","     32,739","[ 3,600,961 , 3,729,299 ]"
"Participated for matdis leave","    0.073"," 0.0014","[ 0.07 , 0.076 ]","       953,130","     18,010","[ 917,830 , 988,430 ]"
"Participated for bond leave","    0.014"," 0.0006","[ 0.013 , 0.015 ]","       182,380","      7,944","[ 166,810 , 197,950 ]"
"Participated for  for own illness or maternal disability leave","    0.261"," 0.0020","[ 0.26 , 0.27 ]","     3,406,410","     29,861","[ 3,347,882 , 3,464,938 ]"
"Participated for ill relative or child bonding leave","    0.284"," 0.0022","[ 0.28 , 0.29 ]","     3,701,720","     32,792","[ 3,637,447 , 3,765,993 ]"
"Participated for any reason","    0.297"," 0.0022","[ 0.29 , 0.3 ]","     3,876,530","     34,132","[ 3,809,631 , 3,943,429 ]"
"Benefits Received ($), for own illness or maternal disability leave","3,706.591","42.1748","[ 3,624 , 3,789 ]","48,362,338,901","575,316,845","[ 47,234,717,884 , 49,489,959,918 ]"
"Benefits Received ($), for for ill relative or child bonding leave","1,036.784"," 8.5974","[ 1,020 , 1,054 ]","13,527,607,092","121,180,139","[ 13,290,094,021 , 13,765,120,164 ]"
"Benefits Received ($), total","4,743.375","48.5479","[ 4,648 , 4,839 ]","61,889,945,993","668,505,629","[ 60,579,674,961 , 63,200,217,025 ]"
