"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0278138574043992,0.000705135348667638,"[ 0.026 , 0.029 ]",485240,12440.3826307714,"[ 460,857 , 509,623 ]"
"Participated for illspouse leave",0.00051587815645782,0.000118913229117655,"[ 0.00028 , 0.00075 ]",9000,2079.00577199776,"[ 4,925 , 13,075 ]"
"Participated for illchild leave",0.00223317921951074,0.000204105767264939,"[ 0.0018 , 0.0026 ]",38960,3612.49013839484,"[ 31,880 , 46,040 ]"
"Participated for illparent leave",0.00243723769028739,0.000237621063412168,"[ 0.002 , 0.0029 ]",42520,4149.66685409805,"[ 34,387 , 50,653 ]"
"Participated for matdis leave",0.0129915315734628,0.000587566364621289,"[ 0.012 , 0.014 ]",226650,10295.7090576609,"[ 206,470 , 246,830 ]"
"Participated for bond leave",0.00353835095534903,0.000243523944610734,"[ 0.0031 , 0.004 ]",61730,4330.8041978367,"[ 53,242 , 70,218 ]"
"Participated for  for own illness or maternal disability leave",0.0396469559176383,0.000834518046400731,"[ 0.038 , 0.041 ]",691680,14921.8767251308,"[ 662,433 , 720,927 ]"
"Participated for ill relative or child bonding leave",0.0085544062299739,0.000452516223987921,"[ 0.0077 , 0.0094 ]",149240,8101.28415746541,"[ 133,361 , 165,119 ]"
"Participated for any reason",0.0469890484799364,0.000852244980735968,"[ 0.045 , 0.049 ]",819770,15744.6630640354,"[ 788,910 , 850,630 ]"
"Benefits Received ($), for own illness or maternal disability leave",204.956882841005,7.48652273109721,"[ 190 , 220 ]",3575673678.90651,130655095.533368,"[ 3,319,589,692 , 3,831,757,666 ]"
"Benefits Received ($), for for ill relative or child bonding leave",14.8610049859481,0.875208133450558,"[ 13 , 17 ]",259264795.764752,15628185.7116168,"[ 228,633,552 , 289,896,040 ]"
"Benefits Received ($), total",219.817887826953,7.65390819449248,"[ 205 , 235 ]",3834938474.67126,134195435.589504,"[ 3,571,915,421 , 4,097,961,528 ]"
