"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.02781","0.00071","[ 0.026 , 0.029 ]","      485,240","     12,440","[ 460,857 , 509,623 ]"
"Participated for illspouse leave","  0.00052","0.00012","[ 0.00028 , 0.00075 ]","        9,000","      2,079","[ 4,925 , 13,075 ]"
"Participated for illchild leave","  0.00223","0.00020","[ 0.0018 , 0.0026 ]","       38,960","      3,612","[ 31,880 , 46,040 ]"
"Participated for illparent leave","  0.00244","0.00024","[ 0.002 , 0.0029 ]","       42,520","      4,150","[ 34,387 , 50,653 ]"
"Participated for matdis leave","  0.01299","0.00059","[ 0.012 , 0.014 ]","      226,650","     10,296","[ 206,470 , 246,830 ]"
"Participated for bond leave","  0.00354","0.00024","[ 0.0031 , 0.004 ]","       61,730","      4,331","[ 53,242 , 70,218 ]"
"Participated for  for own illness or maternal disability leave","  0.03965","0.00083","[ 0.038 , 0.041 ]","      691,680","     14,922","[ 662,433 , 720,927 ]"
"Participated for ill relative or child bonding leave","  0.00855","0.00045","[ 0.0077 , 0.0094 ]","      149,240","      8,101","[ 133,361 , 165,119 ]"
"Participated for any reason","  0.04699","0.00085","[ 0.045 , 0.049 ]","      819,770","     15,745","[ 788,910 , 850,630 ]"
"Benefits Received ($), for own illness or maternal disability leave","204.95688","7.48652","[ 190 , 220 ]","3,575,673,679","130,655,096","[ 3,319,589,692 , 3,831,757,666 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 14.86100","0.87521","[ 13 , 17 ]","  259,264,796"," 15,628,186","[ 228,633,552 , 289,896,040 ]"
"Benefits Received ($), total","219.81789","7.65391","[ 205 , 235 ]","3,834,938,475","134,195,436","[ 3,571,915,421 , 4,097,961,528 ]"
