"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0114418983940415,0.000490857629432488,"[ 0.01 , 0.012 ]",149290,6365.1975617415,"[ 136,814 , 161,766 ]"
"Participated for illspouse leave",0.00075339179592356,0.000116940097322375,"[ 0.00052 , 0.00098 ]",9830,1524.67209589472,"[ 6,842 , 12,818 ]"
"Participated for illchild leave",0.00260583123717203,0.000298559409882326,"[ 0.002 , 0.0032 ]",34000,3887.73262969562,"[ 26,380 , 41,620 ]"
"Participated for illparent leave",0.00368648477964631,0.000325501327138599,"[ 0.003 , 0.0043 ]",48100,4282.75495446564,"[ 39,706 , 56,494 ]"
"Participated for matdis leave",0.00820990123899611,0.000441909970617199,"[ 0.0073 , 0.0091 ]",107120,5717.69227923294,"[ 95,913 , 118,327 ]"
"Participated for bond leave",0.00204097899546739,0.000246987093961433,"[ 0.0016 , 0.0025 ]",26630,3239.34484116773,"[ 20,281 , 32,979 ]"
"Participated for  for own illness or maternal disability leave",0.0190463270808712,0.000694525550349486,"[ 0.018 , 0.02 ]",248510,8878.04482980346,"[ 231,109 , 265,911 ]"
"Participated for ill relative or child bonding leave",0.00882303800068365,0.000474325300386424,"[ 0.0079 , 0.0098 ]",115120,6256.36915470946,"[ 102,858 , 127,382 ]"
"Participated for any reason",0.0267925436438411,0.000860005544757796,"[ 0.025 , 0.028 ]",349580,11171.7664225493,"[ 327,683 , 371,477 ]"
"Benefits Received ($), for own illness or maternal disability leave",117.787464444243,6.93290737292893,"[ 104 , 131 ]",1536850788.33057,89718508.826677,"[ 1,361,002,511 , 1,712,699,066 ]"
"Benefits Received ($), for for ill relative or child bonding leave",15.0018439737427,1.04741692592795,"[ 13 , 17 ]",195738959.542444,13770425.4174229,"[ 168,748,926 , 222,728,993 ]"
"Benefits Received ($), total",132.789308417986,7.15860344282936,"[ 119 , 147 ]",1732589747.87302,92733303.6053192,"[ 1,550,832,473 , 1,914,347,023 ]"
