"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.01144","0.00049","[ 0.01 , 0.012 ]","      149,290","     6,365","[ 136,814 , 161,766 ]"
"Participated for illspouse leave","  0.00075","0.00012","[ 0.00052 , 0.00098 ]","        9,830","     1,525","[ 6,842 , 12,818 ]"
"Participated for illchild leave","  0.00261","0.00030","[ 0.002 , 0.0032 ]","       34,000","     3,888","[ 26,380 , 41,620 ]"
"Participated for illparent leave","  0.00369","0.00033","[ 0.003 , 0.0043 ]","       48,100","     4,283","[ 39,706 , 56,494 ]"
"Participated for matdis leave","  0.00821","0.00044","[ 0.0073 , 0.0091 ]","      107,120","     5,718","[ 95,913 , 118,327 ]"
"Participated for bond leave","  0.00204","0.00025","[ 0.0016 , 0.0025 ]","       26,630","     3,239","[ 20,281 , 32,979 ]"
"Participated for  for own illness or maternal disability leave","  0.01905","0.00069","[ 0.018 , 0.02 ]","      248,510","     8,878","[ 231,109 , 265,911 ]"
"Participated for ill relative or child bonding leave","  0.00882","0.00047","[ 0.0079 , 0.0098 ]","      115,120","     6,256","[ 102,858 , 127,382 ]"
"Participated for any reason","  0.02679","0.00086","[ 0.025 , 0.028 ]","      349,580","    11,172","[ 327,683 , 371,477 ]"
"Benefits Received ($), for own illness or maternal disability leave","117.78746","6.93291","[ 104 , 131 ]","1,536,850,788","89,718,509","[ 1,361,002,511 , 1,712,699,066 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 15.00184","1.04742","[ 13 , 17 ]","  195,738,960","13,770,425","[ 168,748,926 , 222,728,993 ]"
"Benefits Received ($), total","132.78931","7.15860","[ 119 , 147 ]","1,732,589,748","92,733,304","[ 1,550,832,473 , 1,914,347,023 ]"
