"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0253978280383217,0.000602488644100738,"[ 0.024 , 0.027 ]",443090,11033.9029812664,"[ 421,464 , 464,716 ]"
"Participated for illspouse leave",0.000409263337456537,8.42445525326227e-05,"[ 0.00024 , 0.00057 ]",7140,1468.11954554117,"[ 4,262 , 10,018 ]"
"Participated for illchild leave",0.00158775832598685,0.000208331510910318,"[ 0.0012 , 0.002 ]",27700,3638.5972571858,"[ 20,568 , 34,832 ]"
"Participated for illparent leave",0.00215866348580017,0.000156761085871559,"[ 0.0019 , 0.0025 ]",37660,2759.21728031701,"[ 32,252 , 43,068 ]"
"Participated for matdis leave",0.0118657707964815,0.000483884484572911,"[ 0.011 , 0.013 ]",207010,8328.22790274138,"[ 190,687 , 223,333 ]"
"Participated for bond leave",0.00306202345755297,0.00022234608285962,"[ 0.0026 , 0.0035 ]",53420,3874.5677178235,"[ 45,826 , 61,014 ]"
"Participated for  for own illness or maternal disability leave",0.0361705103410642,0.000733005593691365,"[ 0.035 , 0.038 ]",631030,13161.073664409,"[ 605,234 , 656,826 ]"
"Participated for ill relative or child bonding leave",0.0071242773406825,0.000329249346180387,"[ 0.0065 , 0.0078 ]",124290,5778.44096621225,"[ 112,964 , 135,616 ]"
"Participated for any reason",0.0416187568712104,0.000771779720401792,"[ 0.04 , 0.043 ]",726080,14026.0603877211,"[ 698,589 , 753,571 ]"
"Benefits Received ($), for own illness or maternal disability leave",176.762464648538,7.4185506230749,"[ 162 , 191 ]",3083794423.00911,129994950.304687,"[ 2,829,004,320 , 3,338,584,526 ]"
"Benefits Received ($), for for ill relative or child bonding leave",10.9207387176732,0.644398059874829,"[ 9.7 , 12 ]",190522989.253752,11284578.867792,"[ 168,405,215 , 212,640,764 ]"
"Benefits Received ($), total",187.683203366212,7.50224950665754,"[ 173 , 202 ]",3274317412.26286,131528027.963997,"[ 3,016,522,477 , 3,532,112,347 ]"
