"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.02540","0.000602","[ 0.024 , 0.027 ]","      443,090","     11,034","[ 421,464 , 464,716 ]"
"Participated for illspouse leave","  0.00041","0.000084","[ 0.00024 , 0.00057 ]","        7,140","      1,468","[ 4,262 , 10,018 ]"
"Participated for illchild leave","  0.00159","0.000208","[ 0.0012 , 0.002 ]","       27,700","      3,639","[ 20,568 , 34,832 ]"
"Participated for illparent leave","  0.00216","0.000157","[ 0.0019 , 0.0025 ]","       37,660","      2,759","[ 32,252 , 43,068 ]"
"Participated for matdis leave","  0.01187","0.000484","[ 0.011 , 0.013 ]","      207,010","      8,328","[ 190,687 , 223,333 ]"
"Participated for bond leave","  0.00306","0.000222","[ 0.0026 , 0.0035 ]","       53,420","      3,875","[ 45,826 , 61,014 ]"
"Participated for  for own illness or maternal disability leave","  0.03617","0.000733","[ 0.035 , 0.038 ]","      631,030","     13,161","[ 605,234 , 656,826 ]"
"Participated for ill relative or child bonding leave","  0.00712","0.000329","[ 0.0065 , 0.0078 ]","      124,290","      5,778","[ 112,964 , 135,616 ]"
"Participated for any reason","  0.04162","0.000772","[ 0.04 , 0.043 ]","      726,080","     14,026","[ 698,589 , 753,571 ]"
"Benefits Received ($), for own illness or maternal disability leave","176.76246","7.418551","[ 162 , 191 ]","3,083,794,423","129,994,950","[ 2,829,004,320 , 3,338,584,526 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 10.92074","0.644398","[ 9.7 , 12 ]","  190,522,989"," 11,284,579","[ 168,405,215 , 212,640,764 ]"
"Benefits Received ($), total","187.68320","7.502250","[ 173 , 202 ]","3,274,317,412","131,528,028","[ 3,016,522,477 , 3,532,112,347 ]"
