"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0205147896251129,0.000786117911299658,"[ 0.019 , 0.022 ]",267670,10054.630773927,"[ 247,963 , 287,377 ]"
"Participated for illspouse leave",0.0013833898185575,0.000155410970288009,"[ 0.0011 , 0.0017 ]",18050,2010.47382474878,"[ 14,109 , 21,991 ]"
"Participated for illchild leave",0.00219579602779349,0.000231420461732887,"[ 0.0017 , 0.0026 ]",28650,3020.79211466132,"[ 22,729 , 34,571 ]"
"Participated for illparent leave",0.00548604117519923,0.000341281100104698,"[ 0.0048 , 0.0062 ]",71580,4393.54526550029,"[ 62,969 , 80,191 ]"
"Participated for matdis leave",0.0101949315049595,0.000518015579347948,"[ 0.0092 , 0.011 ]",133020,6807.03018944385,"[ 119,678 , 146,362 ]"
"Participated for bond leave",0.00342206955116856,0.000294846771888874,"[ 0.0028 , 0.004 ]",44650,3840.50777892716,"[ 37,123 , 52,177 ]"
"Participated for  for own illness or maternal disability leave",0.0299938839608022,0.000911461568674214,"[ 0.028 , 0.032 ]",391350,11742.9483095175,"[ 368,334 , 414,366 ]"
"Participated for ill relative or child bonding leave",0.0121125167271373,0.000530160679489087,"[ 0.011 , 0.013 ]",158040,6775.0815493247,"[ 144,761 , 171,319 ]"
"Participated for any reason",0.0393779420984299,0.00102954824934675,"[ 0.037 , 0.041 ]",513790,12889.5814516997,"[ 488,526 , 539,054 ]"
"Benefits Received ($), for own illness or maternal disability leave",184.704215918146,8.74656701297583,"[ 168 , 202 ]",2409957809.86656,114083134.997594,"[ 2,186,354,865 , 2,633,560,754 ]"
"Benefits Received ($), for for ill relative or child bonding leave",18.7791664240542,1.13728526997084,"[ 17 , 21 ]",245024178.584475,14500458.5231149,"[ 216,603,280 , 273,445,077 ]"
"Benefits Received ($), total",203.4833823422,9.09200747179557,"[ 186 , 221 ]",2654981988.45103,118133342.621285,"[ 2,423,440,637 , 2,886,523,340 ]"
