"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0205","0.00079","[ 0.019 , 0.022 ]","      267,670","     10,055","[ 247,963 , 287,377 ]"
"Participated for illspouse leave","  0.0014","0.00016","[ 0.0011 , 0.0017 ]","       18,050","      2,010","[ 14,109 , 21,991 ]"
"Participated for illchild leave","  0.0022","0.00023","[ 0.0017 , 0.0026 ]","       28,650","      3,021","[ 22,729 , 34,571 ]"
"Participated for illparent leave","  0.0055","0.00034","[ 0.0048 , 0.0062 ]","       71,580","      4,394","[ 62,969 , 80,191 ]"
"Participated for matdis leave","  0.0102","0.00052","[ 0.0092 , 0.011 ]","      133,020","      6,807","[ 119,678 , 146,362 ]"
"Participated for bond leave","  0.0034","0.00029","[ 0.0028 , 0.004 ]","       44,650","      3,841","[ 37,123 , 52,177 ]"
"Participated for  for own illness or maternal disability leave","  0.0300","0.00091","[ 0.028 , 0.032 ]","      391,350","     11,743","[ 368,334 , 414,366 ]"
"Participated for ill relative or child bonding leave","  0.0121","0.00053","[ 0.011 , 0.013 ]","      158,040","      6,775","[ 144,761 , 171,319 ]"
"Participated for any reason","  0.0394","0.00103","[ 0.037 , 0.041 ]","      513,790","     12,890","[ 488,526 , 539,054 ]"
"Benefits Received ($), for own illness or maternal disability leave","184.7042","8.74657","[ 168 , 202 ]","2,409,957,810","114,083,135","[ 2,186,354,865 , 2,633,560,754 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 18.7792","1.13729","[ 17 , 21 ]","  245,024,179"," 14,500,459","[ 216,603,280 , 273,445,077 ]"
"Benefits Received ($), total","203.4834","9.09201","[ 186 , 221 ]","2,654,981,988","118,133,343","[ 2,423,440,637 , 2,886,523,340 ]"
