"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0264869041463993,0.000680024120627218,"[ 0.025 , 0.028 ]",462090,11981.216757909,"[ 438,607 , 485,573 ]"
"Participated for illspouse leave",0.00111773600565861,0.00013768805394753,"[ 0.00085 , 0.0014 ]",19500,2411.10659241768,"[ 14,774 , 24,226 ]"
"Participated for illchild leave",0.00118709295780461,0.000174723935796597,"[ 0.00084 , 0.0015 ]",20710,3062.72672630125,"[ 14,707 , 26,713 ]"
"Participated for illparent leave",0.000885017637300971,0.000134532998827501,"[ 0.00062 , 0.0011 ]",15440,2352.15858308916,"[ 10,830 , 20,050 ]"
"Participated for matdis leave",0.00991861735482902,0.000392026431807257,"[ 0.0092 , 0.011 ]",173040,6881.59937805159,"[ 159,552 , 186,528 ]"
"Participated for bond leave",0.00487160939081668,0.000304109572591701,"[ 0.0043 , 0.0055 ]",84990,5425.38570057466,"[ 74,356 , 95,624 ]"
"Participated for  for own illness or maternal disability leave",0.0353324949357961,0.000703529689327845,"[ 0.034 , 0.037 ]",616410,12448.1526741923,"[ 592,012 , 640,808 ]"
"Participated for ill relative or child bonding leave",0.00789350899175627,0.000420472705401192,"[ 0.0071 , 0.0087 ]",137710,7533.47031586373,"[ 122,944 , 152,476 ]"
"Participated for any reason",0.04160442692242,0.000749051121215596,"[ 0.04 , 0.043 ]",725830,13556.4233852444,"[ 699,259 , 752,401 ]"
"Benefits Received ($), for own illness or maternal disability leave",185.641470839439,7.71500482773021,"[ 171 , 201 ]",3238697387.43543,134495035.104194,"[ 2,975,087,119 , 3,502,307,656 ]"
"Benefits Received ($), for for ill relative or child bonding leave",14.0400319975123,0.997849373301275,"[ 12 , 16 ]",244942117.42796,17848429.5055705,"[ 209,959,196 , 279,925,039 ]"
"Benefits Received ($), total",199.681502836951,7.45920107160105,"[ 185 , 214 ]",3483639504.86339,130829173.133483,"[ 3,227,214,326 , 3,740,064,684 ]"
