"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.02649","0.00068","[ 0.025 , 0.028 ]","      462,090","     11,981","[ 438,607 , 485,573 ]"
"Participated for illspouse leave","  0.00112","0.00014","[ 0.00085 , 0.0014 ]","       19,500","      2,411","[ 14,774 , 24,226 ]"
"Participated for illchild leave","  0.00119","0.00017","[ 0.00084 , 0.0015 ]","       20,710","      3,063","[ 14,707 , 26,713 ]"
"Participated for illparent leave","  0.00089","0.00013","[ 0.00062 , 0.0011 ]","       15,440","      2,352","[ 10,830 , 20,050 ]"
"Participated for matdis leave","  0.00992","0.00039","[ 0.0092 , 0.011 ]","      173,040","      6,882","[ 159,552 , 186,528 ]"
"Participated for bond leave","  0.00487","0.00030","[ 0.0043 , 0.0055 ]","       84,990","      5,425","[ 74,356 , 95,624 ]"
"Participated for  for own illness or maternal disability leave","  0.03533","0.00070","[ 0.034 , 0.037 ]","      616,410","     12,448","[ 592,012 , 640,808 ]"
"Participated for ill relative or child bonding leave","  0.00789","0.00042","[ 0.0071 , 0.0087 ]","      137,710","      7,533","[ 122,944 , 152,476 ]"
"Participated for any reason","  0.04160","0.00075","[ 0.04 , 0.043 ]","      725,830","     13,556","[ 699,259 , 752,401 ]"
"Benefits Received ($), for own illness or maternal disability leave","185.64147","7.71500","[ 171 , 201 ]","3,238,697,387","134,495,035","[ 2,975,087,119 , 3,502,307,656 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 14.04003","0.99785","[ 12 , 16 ]","  244,942,117"," 17,848,430","[ 209,959,196 , 279,925,039 ]"
"Benefits Received ($), total","199.68150","7.45920","[ 185 , 214 ]","3,483,639,505","130,829,173","[ 3,227,214,326 , 3,740,064,684 ]"
