"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0117063136225193,0.000578026091513146,"[ 0.011 , 0.013 ]",152740,7466.14525709218,"[ 138,106 , 167,374 ]"
"Participated for illspouse leave",0.00116266058434999,0.000144798249447346,"[ 0.00088 , 0.0014 ]",15170,1879.71540399072,"[ 11,486 , 18,854 ]"
"Participated for illchild leave",0.00141634591949821,0.00015742029353664,"[ 0.0011 , 0.0017 ]",18480,2040.82213825703,"[ 14,480 , 22,480 ]"
"Participated for illparent leave",0.00189076048885394,0.000235405465802152,"[ 0.0014 , 0.0024 ]",24670,3098.35036753431,"[ 18,597 , 30,743 ]"
"Participated for matdis leave",0.00434943890322096,0.000272552525003281,"[ 0.0038 , 0.0049 ]",56750,3613.72730017084,"[ 49,667 , 63,833 ]"
"Participated for bond leave",0.00333393114167598,0.00028752659045668,"[ 0.0028 , 0.0039 ]",43500,3756.82379144937,"[ 36,137 , 50,863 ]"
"Participated for  for own illness or maternal disability leave",0.0157944029810709,0.000614063569000388,"[ 0.015 , 0.017 ]",206080,8019.33756615844,"[ 190,362 , 221,798 ]"
"Participated for ill relative or child bonding leave",0.00768490288680116,0.000421512475354947,"[ 0.0069 , 0.0085 ]",100270,5508.0509256905,"[ 89,474 , 111,066 ]"
"Participated for any reason",0.0228462421614297,0.000736604388406749,"[ 0.021 , 0.024 ]",298090,9623.27205268561,"[ 279,228 , 316,952 ]"
"Benefits Received ($), for own illness or maternal disability leave",93.8610310232635,5.52440735824372,"[ 83 , 105 ]",1224666820.04099,71374630.9018584,"[ 1,084,772,543 , 1,364,561,097 ]"
"Benefits Received ($), for for ill relative or child bonding leave",13.7734944506854,0.991862771404255,"[ 12 , 16 ]",179711872.60443,13126227.7678347,"[ 153,984,466 , 205,439,279 ]"
"Benefits Received ($), total",107.634525473949,5.75711723751305,"[ 96 , 119 ]",1404378692.64542,74584327.0702436,"[ 1,258,193,412 , 1,550,563,974 ]"
