"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0117","0.00058","[ 0.011 , 0.013 ]","      152,740","     7,466","[ 138,106 , 167,374 ]"
"Participated for illspouse leave","  0.0012","0.00014","[ 0.00088 , 0.0014 ]","       15,170","     1,880","[ 11,486 , 18,854 ]"
"Participated for illchild leave","  0.0014","0.00016","[ 0.0011 , 0.0017 ]","       18,480","     2,041","[ 14,480 , 22,480 ]"
"Participated for illparent leave","  0.0019","0.00024","[ 0.0014 , 0.0024 ]","       24,670","     3,098","[ 18,597 , 30,743 ]"
"Participated for matdis leave","  0.0043","0.00027","[ 0.0038 , 0.0049 ]","       56,750","     3,614","[ 49,667 , 63,833 ]"
"Participated for bond leave","  0.0033","0.00029","[ 0.0028 , 0.0039 ]","       43,500","     3,757","[ 36,137 , 50,863 ]"
"Participated for  for own illness or maternal disability leave","  0.0158","0.00061","[ 0.015 , 0.017 ]","      206,080","     8,019","[ 190,362 , 221,798 ]"
"Participated for ill relative or child bonding leave","  0.0077","0.00042","[ 0.0069 , 0.0085 ]","      100,270","     5,508","[ 89,474 , 111,066 ]"
"Participated for any reason","  0.0228","0.00074","[ 0.021 , 0.024 ]","      298,090","     9,623","[ 279,228 , 316,952 ]"
"Benefits Received ($), for own illness or maternal disability leave"," 93.8610","5.52441","[ 83 , 105 ]","1,224,666,820","71,374,631","[ 1,084,772,543 , 1,364,561,097 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 13.7735","0.99186","[ 12 , 16 ]","  179,711,873","13,126,228","[ 153,984,466 , 205,439,279 ]"
"Benefits Received ($), total","107.6345","5.75712","[ 96 , 119 ]","1,404,378,693","74,584,327","[ 1,258,193,412 , 1,550,563,974 ]"
