"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0543085886664735,0.00118365891499076,"[ 0.052 , 0.057 ]",708600,16285.8398616712,"[ 676,680 , 740,520 ]"
"Participated for illspouse leave",0.00399995094905907,0.000303685887273665,"[ 0.0034 , 0.0046 ]",52190,3948.15083298498,"[ 44,452 , 59,928 ]"
"Participated for illchild leave",0.00973201324988542,0.000550880340917853,"[ 0.0087 , 0.011 ]",126980,7182.09718675541,"[ 112,903 , 141,057 ]"
"Participated for illparent leave",0.0118097804510541,0.000468040658306537,"[ 0.011 , 0.013 ]",154090,6130.84863620038,"[ 142,074 , 166,106 ]"
"Participated for matdis leave",0.0464887956921011,0.0010774763767654,"[ 0.044 , 0.049 ]",606570,14021.3601337388,"[ 579,088 , 634,052 ]"
"Participated for bond leave",0.0174958574947538,0.000786730081889031,"[ 0.016 , 0.019 ]",228280,10318.6484095544,"[ 208,055 , 248,505 ]"
"Participated for  for own illness or maternal disability leave",0.0936428447706332,0.0016437953493676,"[ 0.09 , 0.097 ]",1221820,22311.3564132708,"[ 1,178,090 , 1,265,550 ]"
"Participated for ill relative or child bonding leave",0.0407536677074663,0.00099650400820423,"[ 0.039 , 0.043 ]",531740,13146.7853485177,"[ 505,972 , 557,508 ]"
"Participated for any reason",0.119678930934742,0.00163971243232248,"[ 0.12 , 0.12 ]",1561530,22982.3033005833,"[ 1,516,485 , 1,606,575 ]"
"Benefits Received ($), for own illness or maternal disability leave",797.422047068175,19.5912543304857,"[ 759 , 836 ]",10404491746.6495,257945373.421961,"[ 9,898,918,815 , 10,910,064,679 ]"
"Benefits Received ($), for for ill relative or child bonding leave",91.2209102139661,2.73885350580096,"[ 86 , 97 ]",1190219421.36236,35307931.7370129,"[ 1,121,015,875 , 1,259,422,968 ]"
"Benefits Received ($), total",888.642957282141,19.9423165698218,"[ 850 , 928 ]",11594711168.0119,262185010.206046,"[ 11,080,828,548 , 12,108,593,788 ]"
