"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0543"," 0.00118","[ 0.052 , 0.057 ]","       708,600","     16,286","[ 676,680 , 740,520 ]"
"Participated for illspouse leave","  0.0040"," 0.00030","[ 0.0034 , 0.0046 ]","        52,190","      3,948","[ 44,452 , 59,928 ]"
"Participated for illchild leave","  0.0097"," 0.00055","[ 0.0087 , 0.011 ]","       126,980","      7,182","[ 112,903 , 141,057 ]"
"Participated for illparent leave","  0.0118"," 0.00047","[ 0.011 , 0.013 ]","       154,090","      6,131","[ 142,074 , 166,106 ]"
"Participated for matdis leave","  0.0465"," 0.00108","[ 0.044 , 0.049 ]","       606,570","     14,021","[ 579,088 , 634,052 ]"
"Participated for bond leave","  0.0175"," 0.00079","[ 0.016 , 0.019 ]","       228,280","     10,319","[ 208,055 , 248,505 ]"
"Participated for  for own illness or maternal disability leave","  0.0936"," 0.00164","[ 0.09 , 0.097 ]","     1,221,820","     22,311","[ 1,178,090 , 1,265,550 ]"
"Participated for ill relative or child bonding leave","  0.0408"," 0.00100","[ 0.039 , 0.043 ]","       531,740","     13,147","[ 505,972 , 557,508 ]"
"Participated for any reason","  0.1197"," 0.00164","[ 0.12 , 0.12 ]","     1,561,530","     22,982","[ 1,516,485 , 1,606,575 ]"
"Benefits Received ($), for own illness or maternal disability leave","797.4220","19.59125","[ 759 , 836 ]","10,404,491,747","257,945,373","[ 9,898,918,815 , 10,910,064,679 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 91.2209"," 2.73885","[ 86 , 97 ]"," 1,190,219,421"," 35,307,932","[ 1,121,015,875 , 1,259,422,968 ]"
"Benefits Received ($), total","888.6430","19.94232","[ 850 , 928 ]","11,594,711,168","262,185,010","[ 11,080,828,548 , 12,108,593,788 ]"
