"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0419450002266693,0.000374769770517232,"[ 0.04267955 , 0.04121045 ]",547746,4971.51451270134,"[ 538001.832 , 557490.168 ]"
"Participated for illspouse leave",0.00409145738555957,9.52885327846902e-05,"[ 0.004278223 , 0.003904692 ]",53429,1238.74963168511,"[ 51001.051 , 55856.949 ]"
"Participated for illchild leave",0.00373560190500229,8.43336069351634e-05,"[ 0.003900896 , 0.003570308 ]",48782,1101.73944288112,"[ 46622.591 , 50941.409 ]"
"Participated for illparent leave",0.0144866185474296,0.000196033113607958,"[ 0.01487084 , 0.01410239 ]",189176,2534.8746517333,"[ 184207.646 , 194144.354 ]"
"Participated for matdis leave",0.00585855897138698,0.00012190986193628,"[ 0.006097502 , 0.005619616 ]",76505,1578.6680144983,"[ 73410.811 , 79599.189 ]"
"Participated for bond leave",0.00492998062896442,0.000112539121141154,"[ 0.005150557 , 0.004709404 ]",64379,1460.07196740435,"[ 61517.259 , 67240.741 ]"
"Participated for  for own illness or maternal disability leave",0.047764887578155,0.00040514429869158,"[ 0.04855897 , 0.0469708 ]",623746,5339.40714405635,"[ 613280.762 , 634211.238 ]"
"Participated for ill relative or child bonding leave",0.0250392229776504,0.000258335217721996,"[ 0.02554556 , 0.02453289 ]",326979,3305.88125921062,"[ 320499.473 , 333458.527 ]"
"Participated for any reason",0.0710122744487341,0.000501060242901736,"[ 0.07199435 , 0.0700302 ]",927326,6490.97939836509,"[ 914603.680 , 940048.320 ]"
"Benefits Received ($), for own illness or maternal disability leave",251.315240877733,3.06842680561271,"[ 257.3294 , 245.3011 ]",3281843299.22331,39762940.4683692,"[ 3203907935.905 , 3359778662.541 ]"
"Benefits Received ($), for for ill relative or child bonding leave",41.2654306117915,0.604095258892121,"[ 42.44946 , 40.0814 ]",538871723.298145,7825936.87420876,"[ 523532887.025 , 554210559.572 ]"
"Benefits Received ($), total",292.580671489525,3.072730297546,"[ 298.6032 , 286.5581 ]",3820715022.52145,39682584.4667834,"[ 3742937156.967 , 3898492888.076 ]"
