"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.013594335921923,0.000424980522311956,"[ 0.013 , 0.014 ]",37670,1163.26804735624,"[ 35,390 , 39,950 ]"
"Participated for illspouse leave",0.000311439126642408,5.36545393881888e-05,"[ 0.00021 , 0.00042 ]",863,148.962914847958,"[ 571 , 1,155 ]"
"Participated for illchild leave",0.00217899124758617,0.000174216983406082,"[ 0.0018 , 0.0025 ]",6038,478.983350441328,"[ 5,099 , 6,977 ]"
"Participated for illparent leave",0.0069177017596852,0.000333525180325583,"[ 0.0063 , 0.0076 ]",19169,919.253555881075,"[ 17,367 , 20,971 ]"
"Participated for matdis leave",0.0132164949420914,0.000373633103822878,"[ 0.012 , 0.014 ]",36623,1045.89559708415,"[ 34,573 , 38,673 ]"
"Participated for bond leave",0.000174665744258315,4.95852236212526e-05,"[ 0.000077 , 0.00027 ]",484,137.537267676801,"[ 214 , 754 ]"
"Participated for  for own illness or maternal disability leave",0.026566154470198,0.000557887435360599,"[ 0.025 , 0.028 ]",73615,1536.71103334361,"[ 70,603 , 76,627 ]"
"Participated for ill relative or child bonding leave",0.00957197148906517,0.000377328770860938,"[ 0.0088 , 0.01 ]",26524,1034.44083929435,"[ 24,496 , 28,552 ]"
"Participated for any reason",0.0359226808160355,0.00070121506943137,"[ 0.035 , 0.037 ]",99542,1911.05516665532,"[ 95,796 , 103,288 ]"
"Benefits Received ($), for own illness or maternal disability leave",109.248164724148,2.58843676335698,"[ 104 , 114 ]",302727429.187767,7294050.44156985,"[ 288,431,090 , 317,023,768 ]"
"Benefits Received ($), for for ill relative or child bonding leave",8.24798482127039,0.388702412948301,"[ 7.5 , 9 ]",22855223.675634,1074584.23630528,"[ 20,749,039 , 24,961,409 ]"
"Benefits Received ($), total",117.496149545418,2.59904782747782,"[ 112 , 123 ]",325582652.863401,7327006.03288662,"[ 311,221,721 , 339,943,585 ]"
