"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.01359","0.000425","[ 0.013 , 0.014 ]","     37,670","    1,163","[ 35,390 , 39,950 ]"
"Participated for illspouse leave","  0.00031","0.000054","[ 0.00021 , 0.00042 ]","        863","      149","[ 571 , 1,155 ]"
"Participated for illchild leave","  0.00218","0.000174","[ 0.0018 , 0.0025 ]","      6,038","      479","[ 5,099 , 6,977 ]"
"Participated for illparent leave","  0.00692","0.000334","[ 0.0063 , 0.0076 ]","     19,169","      919","[ 17,367 , 20,971 ]"
"Participated for matdis leave","  0.01322","0.000374","[ 0.012 , 0.014 ]","     36,623","    1,046","[ 34,573 , 38,673 ]"
"Participated for bond leave","  0.00017","0.000050","[ 0.000077 , 0.00027 ]","        484","      138","[ 214 , 754 ]"
"Participated for  for own illness or maternal disability leave","  0.02657","0.000558","[ 0.025 , 0.028 ]","     73,615","    1,537","[ 70,603 , 76,627 ]"
"Participated for ill relative or child bonding leave","  0.00957","0.000377","[ 0.0088 , 0.01 ]","     26,524","    1,034","[ 24,496 , 28,552 ]"
"Participated for any reason","  0.03592","0.000701","[ 0.035 , 0.037 ]","     99,542","    1,911","[ 95,796 , 103,288 ]"
"Benefits Received ($), for own illness or maternal disability leave","109.24816","2.588437","[ 104 , 114 ]","302,727,429","7,294,050","[ 288,431,090 , 317,023,768 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  8.24798","0.388702","[ 7.5 , 9 ]"," 22,855,224","1,074,584","[ 20,749,039 , 24,961,409 ]"
"Benefits Received ($), total","117.49615","2.599048","[ 112 , 123 ]","325,582,653","7,327,006","[ 311,221,721 , 339,943,585 ]"
