"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00201100668092541,0.000110076526212629,"[ 0.0018 , 0.0022 ]",8607,469.303952678858,"[ 7,687 , 9,527 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0.000138085854354237,2.74096340095245e-05,"[ 0.000084 , 0.00019 ]",591,117.458077627722,"[ 361 , 821 ]"
"Participated for illparent leave",3.50471711558978e-06,3.62591657656592e-06,"[ -0.0000036 , 0.000011 ]",15,15.5161206491829,"[ -15 , 45 ]"
"Participated for matdis leave",0.00101449878105939,9.22199705651687e-05,"[ 0.00083 , 0.0012 ]",4342,395.122322831804,"[ 3,568 , 5,116 ]"
"Participated for bond leave",0.000280377369247182,4.69894087320959e-05,"[ 0.00019 , 0.00037 ]",1200,201.146712625387,"[ 806 , 1,594 ]"
"Participated for  for own illness or maternal disability leave",0.0030255054619848,0.000130645417490646,"[ 0.0028 , 0.0033 ]",12949,557.662218551696,"[ 11,856 , 14,042 ]"
"Participated for ill relative or child bonding leave",0.000421967940717009,4.93922015507223e-05,"[ 0.00033 , 0.00052 ]",1806,211.604229636366,"[ 1,391 , 2,221 ]"
"Participated for any reason",0.00400735808080878,0.000165635104897931,"[ 0.0037 , 0.0043 ]",14476,599.325370729456,"[ 13,301 , 15,651 ]"
"Benefits Received ($), for own illness or maternal disability leave",9.62608294954443,0.707771821794616,"[ 8.2 , 11 ]",41199115.2155709,3033414.58891982,"[ 35,253,623 , 47,144,608 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.680004332484918,0.0961614768693999,"[ 0.49 , 0.87 ]",2910381.8228015,411740.783528013,"[ 2,103,370 , 3,717,394 ]"
"Benefits Received ($), total",12.2107315140324,0.845177370378757,"[ 11 , 14 ]",44109497.0383724,3050028.07852225,"[ 38,131,442 , 50,087,552 ]"
