"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00663477212435768,0.000279792049334856,"[ 0.0061 , 0.0072 ]",18385,775.108960082387,"[ 16,866 , 19,904 ]"
"Participated for illspouse leave",0.000108624770706101,2.89330739398546e-05,"[ 0.000052 , 0.00017 ]",301,80.2701688051047,"[ 144 , 458 ]"
"Participated for illchild leave",1.1548148380715e-05,8.71825369478593e-06,"[ -0.0000055 , 0.000029 ]",32,24.1578144706842,"[ -15 , 79 ]"
"Participated for illparent leave",0.000669792606081471,8.30140584790519e-05,"[ 0.00051 , 0.00083 ]",1856,229.728861922049,"[ 1,406 , 2,306 ]"
"Participated for matdis leave",0.00916056870300219,0.000303075545850282,"[ 0.0086 , 0.0098 ]",25384,838.653653184674,"[ 23,740 , 27,028 ]"
"Participated for bond leave",0.00337963779954363,0.000238977076649411,"[ 0.0029 , 0.0038 ]",9365,664.001242468717,"[ 8,064 , 10,666 ]"
"Participated for  for own illness or maternal disability leave",0.0157953408273599,0.000377242943432547,"[ 0.015 , 0.017 ]",43769,1043.48107313933,"[ 41,724 , 45,814 ]"
"Participated for ill relative or child bonding leave",0.00416960332471192,0.000255310462518824,"[ 0.0037 , 0.0047 ]",11554,709.368733452497,"[ 10,164 , 12,944 ]"
"Participated for any reason",0.0199559221611494,0.000460064962636459,"[ 0.019 , 0.021 ]",55298,1278.29982789641,"[ 52,793 , 57,803 ]"
"Benefits Received ($), for own illness or maternal disability leave",72.9289672554786,1.95219494388025,"[ 69 , 77 ]",202086678.767702,5409708.24888863,"[ 191,483,651 , 212,689,707 ]"
"Benefits Received ($), for for ill relative or child bonding leave",7.4409339200705,0.467196271685762,"[ 6.5 , 8.4 ]",20618879.9790528,1300327.20972409,"[ 18,070,239 , 23,167,521 ]"
"Benefits Received ($), total",80.3699011755491,2.01140030251536,"[ 76 , 84 ]",222705558.746755,5588157.59324155,"[ 211,752,770 , 233,658,348 ]"
