"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.006635","0.0002798","[ 0.0061 , 0.0072 ]","     18,385","      775","[ 16,866 , 19,904 ]"
"Participated for illspouse leave"," 0.000109","0.0000289","[ 0.000052 , 0.00017 ]","        301","       80","[ 144 , 458 ]"
"Participated for illchild leave"," 0.000012","0.0000087","[ -0.0000055 , 0.000029 ]","         32","       24","[ -15 , 79 ]"
"Participated for illparent leave"," 0.000670","0.0000830","[ 0.00051 , 0.00083 ]","      1,856","      230","[ 1,406 , 2,306 ]"
"Participated for matdis leave"," 0.009161","0.0003031","[ 0.0086 , 0.0098 ]","     25,384","      839","[ 23,740 , 27,028 ]"
"Participated for bond leave"," 0.003380","0.0002390","[ 0.0029 , 0.0038 ]","      9,365","      664","[ 8,064 , 10,666 ]"
"Participated for  for own illness or maternal disability leave"," 0.015795","0.0003772","[ 0.015 , 0.017 ]","     43,769","    1,043","[ 41,724 , 45,814 ]"
"Participated for ill relative or child bonding leave"," 0.004170","0.0002553","[ 0.0037 , 0.0047 ]","     11,554","      709","[ 10,164 , 12,944 ]"
"Participated for any reason"," 0.019956","0.0004601","[ 0.019 , 0.021 ]","     55,298","    1,278","[ 52,793 , 57,803 ]"
"Benefits Received ($), for own illness or maternal disability leave","72.928967","1.9521949","[ 69 , 77 ]","202,086,679","5,409,708","[ 191,483,651 , 212,689,707 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 7.440934","0.4671963","[ 6.5 , 8.4 ]"," 20,618,880","1,300,327","[ 18,070,239 , 23,167,521 ]"
"Benefits Received ($), total","80.369901","2.0114003","[ 76 , 84 ]","222,705,559","5,588,158","[ 211,752,770 , 233,658,348 ]"
