"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.000326873282980673,5.27470696772532e-05,"[ 0.00022 , 0.00043 ]",1399,225.858584074195,"[ 956 , 1,842 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0.000664494365115822,6.74607193052979e-05,"[ 0.00053 , 0.0008 ]",2844,289.041519508876,"[ 2,277 , 3,411 ]"
"Participated for bond leave",4.41594356564312e-05,1.31676246546157e-05,"[ 0.000018 , 0.00007 ]",189,56.3586728019743,"[ 79 , 299 ]"
"Participated for  for own illness or maternal disability leave",0.000969638401979838,8.04096091600677e-05,"[ 0.00081 , 0.0011 ]",4150,344.37276315063,"[ 3,475 , 4,825 ]"
"Participated for ill relative or child bonding leave",4.41594356564312e-05,1.31676246546157e-05,"[ 0.000018 , 0.00007 ]",189,56.3586728019743,"[ 79 , 299 ]"
"Participated for any reason",0.0011094513802557,8.93843148413848e-05,"[ 0.00093 , 0.0013 ]",4339,350.002857131195,"[ 3,653 , 5,025 ]"
"Benefits Received ($), for own illness or maternal disability leave",5.24339383717085,0.591014781861954,"[ 4.1 , 6.4 ]",22441442.479824,2531515.11869487,"[ 17,479,673 , 27,403,212 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.0662521910323168,0.0217044919448891,"[ 0.024 , 0.11 ]",283555.8,92949.6311019338,"[ 101,375 , 465,737 ]"
"Benefits Received ($), total",5.81062012165459,0.644835630093803,"[ 4.5 , 7.1 ]",22724998.279824,2524836.23619375,"[ 17,776,319 , 27,673,677 ]"
