"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","0.000327","0.000053","[ 0.00022 , 0.00043 ]","     1,399","      226","[ 956 , 1,842 ]"
"Participated for illspouse leave","0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illchild leave","0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave","0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave","0.000664","0.000067","[ 0.00053 , 0.0008 ]","     2,844","      289","[ 2,277 , 3,411 ]"
"Participated for bond leave","0.000044","0.000013","[ 0.000018 , 0.00007 ]","       189","       56","[ 79 , 299 ]"
"Participated for  for own illness or maternal disability leave","0.000970","0.000080","[ 0.00081 , 0.0011 ]","     4,150","      344","[ 3,475 , 4,825 ]"
"Participated for ill relative or child bonding leave","0.000044","0.000013","[ 0.000018 , 0.00007 ]","       189","       56","[ 79 , 299 ]"
"Participated for any reason","0.001109","0.000089","[ 0.00093 , 0.0013 ]","     4,339","      350","[ 3,653 , 5,025 ]"
"Benefits Received ($), for own illness or maternal disability leave","5.243394","0.591015","[ 4.1 , 6.4 ]","22,441,442","2,531,515","[ 17,479,673 , 27,403,212 ]"
"Benefits Received ($), for for ill relative or child bonding leave","0.066252","0.021704","[ 0.024 , 0.11 ]","   283,556","   92,950","[ 101,375 , 465,737 ]"
"Benefits Received ($), total","5.810620","0.644836","[ 4.5 , 7.1 ]","22,724,998","2,524,836","[ 17,776,319 , 27,673,677 ]"
