"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.060831315113964,0.000771999020593084,"[ 0.059 , 0.062 ]",168564,2152.18936202185,"[ 164,346 , 172,782 ]"
"Participated for illspouse leave",0.00392492693089552,0.000233457445017083,"[ 0.0035 , 0.0044 ]",10876,647.145230995331,"[ 9,608 , 12,144 ]"
"Participated for illchild leave",0.019338457102418,0.000438163220168244,"[ 0.018 , 0.02 ]",53587,1212.15838486561,"[ 51,211 , 55,963 ]"
"Participated for illparent leave",0.0999268496976009,0.000958036019779628,"[ 0.098 , 0.1 ]",276898,2742.59954240498,"[ 271,523 , 282,273 ]"
"Participated for matdis leave",0.0213333997351865,0.00051269872677284,"[ 0.02 , 0.022 ]",59115,1423.23887664721,"[ 56,325 , 61,905 ]"
"Participated for bond leave",0.00433705147623229,0.000218702926157296,"[ 0.0039 , 0.0048 ]",12018,607.617848651601,"[ 10,827 , 13,209 ]"
"Participated for  for own illness or maternal disability leave",0.0788698837642778,0.000867231868767764,"[ 0.077 , 0.081 ]",218549,2433.20480025829,"[ 213,780 , 223,318 ]"
"Participated for ill relative or child bonding leave",0.120613914003104,0.00106511961302878,"[ 0.12 , 0.12 ]",334222,3068.46675067533,"[ 328,208 , 340,236 ]"
"Participated for any reason",0.17670760124388,0.0012812836140322,"[ 0.17 , 0.18 ]",489658,3786.60668673154,"[ 482,236 , 497,080 ]"
"Benefits Received ($), for own illness or maternal disability leave",325.623207865127,3.92687344523635,"[ 318 , 333 ]",902304188.356723,10665097.241631,"[ 881,400,598 , 923,207,779 ]"
"Benefits Received ($), for for ill relative or child bonding leave",142.171078292158,1.50861498285456,"[ 139 , 145 ]",393957053.145119,4227279.39237867,"[ 385,671,586 , 402,242,521 ]"
"Benefits Received ($), total",467.794286157286,4.45762903842674,"[ 459 , 477 ]",1296261241.50184,12130873.8065118,"[ 1,272,484,729 , 1,320,037,754 ]"
