"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0608","0.00077","[ 0.059 , 0.062 ]","      168,564","     2,152","[ 164,346 , 172,782 ]"
"Participated for illspouse leave","  0.0039","0.00023","[ 0.0035 , 0.0044 ]","       10,876","       647","[ 9,608 , 12,144 ]"
"Participated for illchild leave","  0.0193","0.00044","[ 0.018 , 0.02 ]","       53,587","     1,212","[ 51,211 , 55,963 ]"
"Participated for illparent leave","  0.0999","0.00096","[ 0.098 , 0.1 ]","      276,898","     2,743","[ 271,523 , 282,273 ]"
"Participated for matdis leave","  0.0213","0.00051","[ 0.02 , 0.022 ]","       59,115","     1,423","[ 56,325 , 61,905 ]"
"Participated for bond leave","  0.0043","0.00022","[ 0.0039 , 0.0048 ]","       12,018","       608","[ 10,827 , 13,209 ]"
"Participated for  for own illness or maternal disability leave","  0.0789","0.00087","[ 0.077 , 0.081 ]","      218,549","     2,433","[ 213,780 , 223,318 ]"
"Participated for ill relative or child bonding leave","  0.1206","0.00107","[ 0.12 , 0.12 ]","      334,222","     3,068","[ 328,208 , 340,236 ]"
"Participated for any reason","  0.1767","0.00128","[ 0.17 , 0.18 ]","      489,658","     3,787","[ 482,236 , 497,080 ]"
"Benefits Received ($), for own illness or maternal disability leave","325.6232","3.92687","[ 318 , 333 ]","  902,304,188","10,665,097","[ 881,400,598 , 923,207,779 ]"
"Benefits Received ($), for for ill relative or child bonding leave","142.1711","1.50861","[ 139 , 145 ]","  393,957,053"," 4,227,279","[ 385,671,586 , 402,242,521 ]"
"Benefits Received ($), total","467.7943","4.45763","[ 459 , 477 ]","1,296,261,242","12,130,874","[ 1,272,484,729 , 1,320,037,754 ]"
