"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00250400355518504,0.000147952796745803,"[ 0.0022 , 0.0028 ]",10717,631.938446369581,"[ 9,478 , 11,956 ]"
"Participated for illspouse leave",0.000107945287160165,3.49000399782779e-05,"[ 0.00004 , 0.00018 ]",462,149.332180055071,"[ 169 , 755 ]"
"Participated for illchild leave",0.000143226106123769,3.35123867418091e-05,"[ 0.000078 , 0.00021 ]",613,143.451908317736,"[ 332 , 894 ]"
"Participated for illparent leave",7.7804719966093e-05,2.15550296341089e-05,"[ 0.000036 , 0.00012 ]",333,92.3230740389422,"[ 152 , 514 ]"
"Participated for matdis leave",0.000851646259088316,6.61052708448518e-05,"[ 0.00072 , 0.00098 ]",3645,283.365753047188,"[ 3,090 , 4,200 ]"
"Participated for bond leave",0.000443697186833666,5.06870620460257e-05,"[ 0.00034 , 0.00054 ]",1899,217.059093336354,"[ 1,474 , 2,324 ]"
"Participated for  for own illness or maternal disability leave",0.00323719037576642,0.000164741451765913,"[ 0.0029 , 0.0036 ]",13855,703.671549801468,"[ 12,476 , 15,234 ]"
"Participated for ill relative or child bonding leave",0.000772673300083693,7.30366312519868e-05,"[ 0.00063 , 0.00092 ]",3307,312.668114779873,"[ 2,694 , 3,920 ]"
"Participated for any reason",0.00448227507990714,0.000191468003587121,"[ 0.0041 , 0.0049 ]",16190,690.490514055045,"[ 14,837 , 17,543 ]"
"Benefits Received ($), for own illness or maternal disability leave",9.26053309787078,0.525625253246667,"[ 8.2 , 10 ]",39634581.5900997,2248671.29205332,"[ 35,227,186 , 44,041,977 ]"
"Benefits Received ($), for for ill relative or child bonding leave",1.23450960331617,0.161611011703094,"[ 0.92 , 1.6 ]",5283634.43867463,691496.813017878,"[ 3,928,301 , 6,638,968 ]"
"Benefits Received ($), total",12.4358122507511,0.637271184304121,"[ 11 , 14 ]",44918216.0287743,2301818.76436306,"[ 40,406,651 , 49,429,781 ]"
