"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.002504","0.000148","[ 0.0022 , 0.0028 ]","    10,717","      632","[ 9,478 , 11,956 ]"
"Participated for illspouse leave"," 0.000108","0.000035","[ 0.00004 , 0.00018 ]","       462","      149","[ 169 , 755 ]"
"Participated for illchild leave"," 0.000143","0.000034","[ 0.000078 , 0.00021 ]","       613","      143","[ 332 , 894 ]"
"Participated for illparent leave"," 0.000078","0.000022","[ 0.000036 , 0.00012 ]","       333","       92","[ 152 , 514 ]"
"Participated for matdis leave"," 0.000852","0.000066","[ 0.00072 , 0.00098 ]","     3,645","      283","[ 3,090 , 4,200 ]"
"Participated for bond leave"," 0.000444","0.000051","[ 0.00034 , 0.00054 ]","     1,899","      217","[ 1,474 , 2,324 ]"
"Participated for  for own illness or maternal disability leave"," 0.003237","0.000165","[ 0.0029 , 0.0036 ]","    13,855","      704","[ 12,476 , 15,234 ]"
"Participated for ill relative or child bonding leave"," 0.000773","0.000073","[ 0.00063 , 0.00092 ]","     3,307","      313","[ 2,694 , 3,920 ]"
"Participated for any reason"," 0.004482","0.000191","[ 0.0041 , 0.0049 ]","    16,190","      690","[ 14,837 , 17,543 ]"
"Benefits Received ($), for own illness or maternal disability leave"," 9.260533","0.525625","[ 8.2 , 10 ]","39,634,582","2,248,671","[ 35,227,186 , 44,041,977 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 1.234510","0.161611","[ 0.92 , 1.6 ]"," 5,283,634","  691,497","[ 3,928,301 , 6,638,968 ]"
"Benefits Received ($), total","12.435812","0.637271","[ 11 , 14 ]","44,918,216","2,301,819","[ 40,406,651 , 49,429,781 ]"
