"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00482351722676991,0.000223174225871336,"[ 0.0044 , 0.0053 ]",13366,618.639798267134,"[ 12,153 , 14,579 ]"
"Participated for illspouse leave",0.000511366445483537,6.5015034182497e-05,"[ 0.00038 , 0.00064 ]",1417,180.371699554004,"[ 1,063 , 1,771 ]"
"Participated for illchild leave",0.000989531964372519,0.000107525515880784,"[ 0.00078 , 0.0012 ]",2742,297.46218247031,"[ 2,159 , 3,325 ]"
"Participated for illparent leave",0.00144568382541076,0.000138375204848389,"[ 0.0012 , 0.0017 ]",4006,384.032355407718,"[ 3,253 , 4,759 ]"
"Participated for matdis leave",0.00286430167805422,0.000182435539225666,"[ 0.0025 , 0.0032 ]",7937,507.242545534185,"[ 6,943 , 8,931 ]"
"Participated for bond leave",0.000931791222468944,0.000113147953152513,"[ 0.00071 , 0.0012 ]",2582,313.552387967306,"[ 1,967 , 3,197 ]"
"Participated for  for own illness or maternal disability leave",0.00767771427499101,0.000267381376670841,"[ 0.0072 , 0.0082 ]",21275,744.196277872982,"[ 19,816 , 22,734 ]"
"Participated for ill relative or child bonding leave",0.00387223850390851,0.000234840199370649,"[ 0.0034 , 0.0043 ]",10730,651.470452131177,"[ 9,453 , 12,007 ]"
"Participated for any reason",0.0113814219884685,0.000341490613816708,"[ 0.011 , 0.012 ]",31538,950.928388470972,"[ 29,674 , 33,402 ]"
"Benefits Received ($), for own illness or maternal disability leave",26.2424548121603,1.13524315557255,"[ 24 , 28 ]",72718025.9816799,3179332.0515262,"[ 66,486,535 , 78,949,517 ]"
"Benefits Received ($), for for ill relative or child bonding leave",4.18345805498029,0.311166298496852,"[ 3.6 , 4.8 ]",11592391.5545568,861934.140754321,"[ 9,903,001 , 13,281,782 ]"
"Benefits Received ($), total",30.4259128671406,1.21145189391442,"[ 28 , 33 ]",84310417.5362366,3393255.96720084,"[ 77,659,636 , 90,961,199 ]"
