"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.00482","0.000223","[ 0.0044 , 0.0053 ]","    13,366","      619","[ 12,153 , 14,579 ]"
"Participated for illspouse leave"," 0.00051","0.000065","[ 0.00038 , 0.00064 ]","     1,417","      180","[ 1,063 , 1,771 ]"
"Participated for illchild leave"," 0.00099","0.000108","[ 0.00078 , 0.0012 ]","     2,742","      297","[ 2,159 , 3,325 ]"
"Participated for illparent leave"," 0.00145","0.000138","[ 0.0012 , 0.0017 ]","     4,006","      384","[ 3,253 , 4,759 ]"
"Participated for matdis leave"," 0.00286","0.000182","[ 0.0025 , 0.0032 ]","     7,937","      507","[ 6,943 , 8,931 ]"
"Participated for bond leave"," 0.00093","0.000113","[ 0.00071 , 0.0012 ]","     2,582","      314","[ 1,967 , 3,197 ]"
"Participated for  for own illness or maternal disability leave"," 0.00768","0.000267","[ 0.0072 , 0.0082 ]","    21,275","      744","[ 19,816 , 22,734 ]"
"Participated for ill relative or child bonding leave"," 0.00387","0.000235","[ 0.0034 , 0.0043 ]","    10,730","      651","[ 9,453 , 12,007 ]"
"Participated for any reason"," 0.01138","0.000341","[ 0.011 , 0.012 ]","    31,538","      951","[ 29,674 , 33,402 ]"
"Benefits Received ($), for own illness or maternal disability leave","26.24245","1.135243","[ 24 , 28 ]","72,718,026","3,179,332","[ 66,486,535 , 78,949,517 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 4.18346","0.311166","[ 3.6 , 4.8 ]","11,592,392","  861,934","[ 9,903,001 , 13,281,782 ]"
"Benefits Received ($), total","30.42591","1.211452","[ 28 , 33 ]","84,310,418","3,393,256","[ 77,659,636 , 90,961,199 ]"
