"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00166590886894367,0.000120014443988973,"[ 0.0014 , 0.0019 ]",7130,513.836403926386,"[ 6,123 , 8,137 ]"
"Participated for illspouse leave",1.5888050924007e-05,7.81841076103362e-06,"[ 0.00000056 , 0.000031 ]",68,33.4499626307714,"[ 2.4 , 134 ]"
"Participated for illchild leave",6.86924554655596e-05,1.88776271960883e-05,"[ 0.000032 , 0.00011 ]",294,80.7694249081916,"[ 136 , 452 ]"
"Participated for illparent leave",3.22433974634259e-05,1.33071540265574e-05,"[ 0.0000062 , 0.000058 ]",138,56.9539287494726,"[ 26 , 250 ]"
"Participated for matdis leave",0.000618232099190037,6.04424004670378e-05,"[ 0.0005 , 0.00074 ]",2646,258.790069361249,"[ 2,139 , 3,153 ]"
"Participated for bond leave",0.000225703782243982,3.15473470870046e-05,"[ 0.00016 , 0.00029 ]",966,135.001851839151,"[ 701 , 1,231 ]"
"Participated for  for own illness or maternal disability leave",0.00226217807420935,0.000131964314349909,"[ 0.002 , 0.0025 ]",9682,565.27480042896,"[ 8,574 , 10,790 ]"
"Participated for ill relative or child bonding leave",0.000342527686096974,3.9742641283624e-05,"[ 0.00026 , 0.00042 ]",1466,169.827706808989,"[ 1,133 , 1,799 ]"
"Participated for any reason",0.00285911586420901,0.000157911700867499,"[ 0.0025 , 0.0032 ]",11005,608.622584201408,"[ 9,812 , 12,198 ]"
"Benefits Received ($), for own illness or maternal disability leave",6.27871269100293,0.528193091142145,"[ 5.2 , 7.3 ]",26872551.2670072,2264497.00926965,"[ 22,434,137 , 31,310,965 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.526387233354382,0.0863331553314912,"[ 0.36 , 0.7 ]",2252908.93384615,369485.319093673,"[ 1,528,718 , 2,977,100 ]"
"Benefits Received ($), total",7.566839192426,0.60319816385695,"[ 6.4 , 8.7 ]",29125460.2008534,2325734.913488,"[ 24,567,020 , 33,683,901 ]"
