"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","0.001666","0.0001200","[ 0.0014 , 0.0019 ]","     7,130","      514","[ 6,123 , 8,137 ]"
"Participated for illspouse leave","0.000016","0.0000078","[ 0.00000056 , 0.000031 ]","        68","       33","[ 2.4 , 134 ]"
"Participated for illchild leave","0.000069","0.0000189","[ 0.000032 , 0.00011 ]","       294","       81","[ 136 , 452 ]"
"Participated for illparent leave","0.000032","0.0000133","[ 0.0000062 , 0.000058 ]","       138","       57","[ 26 , 250 ]"
"Participated for matdis leave","0.000618","0.0000604","[ 0.0005 , 0.00074 ]","     2,646","      259","[ 2,139 , 3,153 ]"
"Participated for bond leave","0.000226","0.0000315","[ 0.00016 , 0.00029 ]","       966","      135","[ 701 , 1,231 ]"
"Participated for  for own illness or maternal disability leave","0.002262","0.0001320","[ 0.002 , 0.0025 ]","     9,682","      565","[ 8,574 , 10,790 ]"
"Participated for ill relative or child bonding leave","0.000343","0.0000397","[ 0.00026 , 0.00042 ]","     1,466","      170","[ 1,133 , 1,799 ]"
"Participated for any reason","0.002859","0.0001579","[ 0.0025 , 0.0032 ]","    11,005","      609","[ 9,812 , 12,198 ]"
"Benefits Received ($), for own illness or maternal disability leave","6.278713","0.5281931","[ 5.2 , 7.3 ]","26,872,551","2,264,497","[ 22,434,137 , 31,310,965 ]"
"Benefits Received ($), for for ill relative or child bonding leave","0.526387","0.0863332","[ 0.36 , 0.7 ]"," 2,252,909","  369,485","[ 1,528,718 , 2,977,100 ]"
"Benefits Received ($), total","7.566839","0.6031982","[ 6.4 , 8.7 ]","29,125,460","2,325,735","[ 24,567,020 , 33,683,901 ]"
