"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00542402094256709,0.000258254039040894,"[ 0.0049 , 0.0059 ]",15030,711.970434779423,"[ 13,635 , 16,425 ]"
"Participated for illspouse leave",0.000437025240282684,6.71791896272262e-05,"[ 0.00031 , 0.00057 ]",1211,186.250637582801,"[ 846 , 1,576 ]"
"Participated for illchild leave",0.000878381036208137,0.00010302370908825,"[ 0.00068 , 0.0011 ]",2434,285.05999368554,"[ 1,875 , 2,993 ]"
"Participated for illparent leave",0.00168675142285819,0.000151364094677994,"[ 0.0014 , 0.002 ]",4674,421.170808580082,"[ 3,849 , 5,499 ]"
"Participated for matdis leave",0.00243449403050949,0.000179762942543706,"[ 0.0021 , 0.0028 ]",6746,497.751544447629,"[ 5,770 , 7,722 ]"
"Participated for bond leave",0.00112161391147695,0.000126823299742394,"[ 0.00087 , 0.0014 ]",3108,351.057260286695,"[ 2,420 , 3,796 ]"
"Participated for  for own illness or maternal disability leave",0.00784047099123171,0.000310475369009007,"[ 0.0072 , 0.0084 ]",21726,855.514523547087,"[ 20,049 , 23,403 ]"
"Participated for ill relative or child bonding leave",0.0041039232307966,0.000241061448305292,"[ 0.0036 , 0.0046 ]",11372,669.223953546195,"[ 10,060 , 12,684 ]"
"Participated for any reason",0.0117690067184962,0.000400542984529266,"[ 0.011 , 0.013 ]",32612,1106.49310888048,"[ 30,443 , 34,781 ]"
"Benefits Received ($), for own illness or maternal disability leave",25.4414160523308,1.46197503259322,"[ 23 , 28 ]",70498341.9709211,4048078.35367272,"[ 62,564,108 , 78,432,576 ]"
"Benefits Received ($), for for ill relative or child bonding leave",4.45544676212926,0.330360032761865,"[ 3.8 , 5.1 ]",12346074.1659875,915998.60645775,"[ 10,550,717 , 14,141,431 ]"
"Benefits Received ($), total",29.8968628144601,1.51915567915035,"[ 27 , 33 ]",82844416.1369085,4206853.82641668,"[ 74,598,983 , 91,089,850 ]"
