"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.00542","0.000258","[ 0.0049 , 0.0059 ]","    15,030","      712","[ 13,635 , 16,425 ]"
"Participated for illspouse leave"," 0.00044","0.000067","[ 0.00031 , 0.00057 ]","     1,211","      186","[ 846 , 1,576 ]"
"Participated for illchild leave"," 0.00088","0.000103","[ 0.00068 , 0.0011 ]","     2,434","      285","[ 1,875 , 2,993 ]"
"Participated for illparent leave"," 0.00169","0.000151","[ 0.0014 , 0.002 ]","     4,674","      421","[ 3,849 , 5,499 ]"
"Participated for matdis leave"," 0.00243","0.000180","[ 0.0021 , 0.0028 ]","     6,746","      498","[ 5,770 , 7,722 ]"
"Participated for bond leave"," 0.00112","0.000127","[ 0.00087 , 0.0014 ]","     3,108","      351","[ 2,420 , 3,796 ]"
"Participated for  for own illness or maternal disability leave"," 0.00784","0.000310","[ 0.0072 , 0.0084 ]","    21,726","      856","[ 20,049 , 23,403 ]"
"Participated for ill relative or child bonding leave"," 0.00410","0.000241","[ 0.0036 , 0.0046 ]","    11,372","      669","[ 10,060 , 12,684 ]"
"Participated for any reason"," 0.01177","0.000401","[ 0.011 , 0.013 ]","    32,612","    1,106","[ 30,443 , 34,781 ]"
"Benefits Received ($), for own illness or maternal disability leave","25.44142","1.461975","[ 23 , 28 ]","70,498,342","4,048,078","[ 62,564,108 , 78,432,576 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 4.45545","0.330360","[ 3.8 , 5.1 ]","12,346,074","  915,999","[ 10,550,717 , 14,141,431 ]"
"Benefits Received ($), total","29.89686","1.519156","[ 27 , 33 ]","82,844,416","4,206,854","[ 74,598,983 , 91,089,850 ]"
