"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.000533184297185058,6.29639852925909e-05,"[ 0.00041 , 0.00066 ]",2282,269.99342584589,"[ 1,753 , 2,811 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",8.87861669282743e-06,9.1738735226606e-06,"[ -0.0000091 , 0.000027 ]",38,39.272127520673,"[ -39 , 115 ]"
"Participated for matdis leave",0.000218694348012802,3.63415578613539e-05,"[ 0.00015 , 0.00029 ]",936,155.852975589175,"[ 631 , 1,241 ]"
"Participated for bond leave",5.09352220799047e-05,1.58986198948248e-05,"[ 0.00002 , 0.000082 ]",218,68.0804670959299,"[ 85 , 351 ]"
"Participated for  for own illness or maternal disability leave",0.000716597826234256,6.50605976060902e-05,"[ 0.00059 , 0.00084 ]",3067,279.264390855691,"[ 2,520 , 3,614 ]"
"Participated for ill relative or child bonding leave",5.98138387727322e-05,1.69557298073165e-05,"[ 0.000027 , 0.000093 ]",256,72.6267856923325,"[ 114 , 398 ]"
"Participated for any reason",0.000832780374226582,7.60322336044051e-05,"[ 0.00068 , 0.00098 ]",3302,302.635011193352,"[ 2,709 , 3,895 ]"
"Benefits Received ($), for own illness or maternal disability leave",1.68636893877555,0.202195555799978,"[ 1.3 , 2.1 ]",7217567.99403666,868975.439964915,"[ 5,514,376 , 8,920,760 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.0740548559760765,0.0303364123420452,"[ 0.015 , 0.13 ]",316950.784615385,129882.489517176,"[ 62,381 , 571,520 ]"
"Benefits Received ($), total",1.90024208603969,0.218408011157935,"[ 1.5 , 2.3 ]",7534518.77865204,870410.901812261,"[ 5,828,513 , 9,240,524 ]"
