"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","0.0005332","0.0000630","[ 0.00041 , 0.00066 ]","    2,282","    270","[ 1,753 , 2,811 ]"
"Participated for illspouse leave","0.0000000","0.0000000","[ 0 , 0 ]","        0","      0","[ 0 , 0 ]"
"Participated for illchild leave","0.0000000","0.0000000","[ 0 , 0 ]","        0","      0","[ 0 , 0 ]"
"Participated for illparent leave","0.0000089","0.0000092","[ -0.0000091 , 0.000027 ]","       38","     39","[ -39 , 115 ]"
"Participated for matdis leave","0.0002187","0.0000363","[ 0.00015 , 0.00029 ]","      936","    156","[ 631 , 1,241 ]"
"Participated for bond leave","0.0000509","0.0000159","[ 0.00002 , 0.000082 ]","      218","     68","[ 85 , 351 ]"
"Participated for  for own illness or maternal disability leave","0.0007166","0.0000651","[ 0.00059 , 0.00084 ]","    3,067","    279","[ 2,520 , 3,614 ]"
"Participated for ill relative or child bonding leave","0.0000598","0.0000170","[ 0.000027 , 0.000093 ]","      256","     73","[ 114 , 398 ]"
"Participated for any reason","0.0008328","0.0000760","[ 0.00068 , 0.00098 ]","    3,302","    303","[ 2,709 , 3,895 ]"
"Benefits Received ($), for own illness or maternal disability leave","1.6863689","0.2021956","[ 1.3 , 2.1 ]","7,217,568","868,975","[ 5,514,376 , 8,920,760 ]"
"Benefits Received ($), for for ill relative or child bonding leave","0.0740549","0.0303364","[ 0.015 , 0.13 ]","  316,951","129,882","[ 62,381 , 571,520 ]"
"Benefits Received ($), total","1.9002421","0.2184080","[ 1.5 , 2.3 ]","7,534,519","870,411","[ 5,828,513 , 9,240,524 ]"
