"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00548609224011343,0.000264220214410227,"[ 0.005 , 0.006 ]",15202,737.350391604968,"[ 13,757 , 16,647 ]"
"Participated for illspouse leave",0.000903281731154053,9.58013366396694e-05,"[ 0.00072 , 0.0011 ]",2503,265.739628207763,"[ 1,982 , 3,024 ]"
"Participated for illchild leave",0.000606277789987539,8.84935957283832e-05,"[ 0.00043 , 0.00078 ]",1680,244.953873208815,"[ 1,200 , 2,160 ]"
"Participated for illparent leave",0.00086575024891673,9.42490283488442e-05,"[ 0.00068 , 0.0011 ]",2399,262.05953522053,"[ 1,885 , 2,913 ]"
"Participated for matdis leave",0.00211583731112913,0.000148120024519671,"[ 0.0018 , 0.0024 ]",5863,410.780294074582,"[ 5,058 , 6,668 ]"
"Participated for bond leave",0.00129194910009249,0.000121696945990711,"[ 0.0011 , 0.0015 ]",3580,336.727634743571,"[ 2,920 , 4,240 ]"
"Participated for  for own illness or maternal disability leave",0.00757125478210629,0.000289319745164455,"[ 0.007 , 0.0081 ]",20980,808.902435402441,"[ 19,395 , 22,565 ]"
"Participated for ill relative or child bonding leave",0.00365282368467492,0.000219756963628581,"[ 0.0032 , 0.0041 ]",10122,610.027089562423,"[ 8,926 , 11,318 ]"
"Participated for any reason",0.0111251974462713,0.000359751602565266,"[ 0.01 , 0.012 ]",30828,1008.2404475124,"[ 28,852 , 32,804 ]"
"Benefits Received ($), for own illness or maternal disability leave",28.3622848842588,1.57831338332732,"[ 25 , 31 ]",78592089.9502754,4402735.67831272,"[ 69,962,728 , 87,221,452 ]"
"Benefits Received ($), for for ill relative or child bonding leave",5.0043989195001,0.409210055677536,"[ 4.2 , 5.8 ]",13867224.4367272,1134000.15567766,"[ 11,644,584 , 16,089,865 ]"
"Benefits Received ($), total",33.3666838037589,1.62852313486148,"[ 30 , 37 ]",92459314.3870026,4546618.67316055,"[ 83,547,942 , 101,370,687 ]"
