"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.00549","0.000264","[ 0.005 , 0.006 ]","    15,202","      737","[ 13,757 , 16,647 ]"
"Participated for illspouse leave"," 0.00090","0.000096","[ 0.00072 , 0.0011 ]","     2,503","      266","[ 1,982 , 3,024 ]"
"Participated for illchild leave"," 0.00061","0.000088","[ 0.00043 , 0.00078 ]","     1,680","      245","[ 1,200 , 2,160 ]"
"Participated for illparent leave"," 0.00087","0.000094","[ 0.00068 , 0.0011 ]","     2,399","      262","[ 1,885 , 2,913 ]"
"Participated for matdis leave"," 0.00212","0.000148","[ 0.0018 , 0.0024 ]","     5,863","      411","[ 5,058 , 6,668 ]"
"Participated for bond leave"," 0.00129","0.000122","[ 0.0011 , 0.0015 ]","     3,580","      337","[ 2,920 , 4,240 ]"
"Participated for  for own illness or maternal disability leave"," 0.00757","0.000289","[ 0.007 , 0.0081 ]","    20,980","      809","[ 19,395 , 22,565 ]"
"Participated for ill relative or child bonding leave"," 0.00365","0.000220","[ 0.0032 , 0.0041 ]","    10,122","      610","[ 8,926 , 11,318 ]"
"Participated for any reason"," 0.01113","0.000360","[ 0.01 , 0.012 ]","    30,828","    1,008","[ 28,852 , 32,804 ]"
"Benefits Received ($), for own illness or maternal disability leave","28.36228","1.578313","[ 25 , 31 ]","78,592,090","4,402,736","[ 69,962,728 , 87,221,452 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 5.00440","0.409210","[ 4.2 , 5.8 ]","13,867,224","1,134,000","[ 11,644,584 , 16,089,865 ]"
"Benefits Received ($), total","33.36668","1.628523","[ 30 , 37 ]","92,459,314","4,546,619","[ 83,547,942 , 101,370,687 ]"
