"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00146146703720094,0.000102230748858548,"[ 0.0013 , 0.0017 ]",6255,437.512056976719,"[ 5,397 , 7,113 ]"
"Participated for illspouse leave",6.1916669042086e-05,1.73237586173558e-05,"[ 0.000028 , 0.000096 ]",265,74.0979082025937,"[ 120 , 410 ]"
"Participated for illchild leave",4.11220141562534e-05,1.69799385411443e-05,"[ 0.0000078 , 0.000074 ]",176,72.6773692424265,"[ 34 , 318 ]"
"Participated for illparent leave",1.5420755308595e-05,9.23489345950577e-06,"[ -0.0000027 , 0.000034 ]",66,39.5328976929342,"[ -11 , 143 ]"
"Participated for matdis leave",0.000608418891266385,5.73286879361333e-05,"[ 0.0005 , 0.00072 ]",2604,245.720776492343,"[ 2,122 , 3,086 ]"
"Participated for bond leave",0.000239489002898635,4.12331045743388e-05,"[ 0.00016 , 0.00032 ]",1025,176.364395499772,"[ 679 , 1,371 ]"
"Participated for  for own illness or maternal disability leave",0.00202853026650336,0.000121489300521888,"[ 0.0018 , 0.0023 ]",8682,520.581885969921,"[ 7,662 , 9,702 ]"
"Participated for ill relative or child bonding leave",0.000357948441405569,4.7248399607138e-05,"[ 0.00027 , 0.00045 ]",1532,201.931795416175,"[ 1,136 , 1,928 ]"
"Participated for any reason",0.00262378688823551,0.000151122957369169,"[ 0.0023 , 0.0029 ]",10100,583.037648870122,"[ 8,957 , 11,243 ]"
"Benefits Received ($), for own illness or maternal disability leave",6.19318570520409,0.595879316532869,"[ 5 , 7.4 ]",26506500.3862454,2552451.33237028,"[ 21,503,696 , 31,509,305 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.388780120157245,0.063097696830808,"[ 0.27 , 0.51 ]",1663957.92014652,270104.026147501,"[ 1,134,554 , 2,193,362 ]"
"Benefits Received ($), total",7.31814644949469,0.683256607934717,"[ 6 , 8.7 ]",28170458.3063919,2635156.59462423,"[ 23,005,551 , 33,335,365 ]"
