"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","0.001461","0.0001022","[ 0.0013 , 0.0017 ]","     6,255","      438","[ 5,397 , 7,113 ]"
"Participated for illspouse leave","0.000062","0.0000173","[ 0.000028 , 0.000096 ]","       265","       74","[ 120 , 410 ]"
"Participated for illchild leave","0.000041","0.0000170","[ 0.0000078 , 0.000074 ]","       176","       73","[ 34 , 318 ]"
"Participated for illparent leave","0.000015","0.0000092","[ -0.0000027 , 0.000034 ]","        66","       40","[ -11 , 143 ]"
"Participated for matdis leave","0.000608","0.0000573","[ 0.0005 , 0.00072 ]","     2,604","      246","[ 2,122 , 3,086 ]"
"Participated for bond leave","0.000239","0.0000412","[ 0.00016 , 0.00032 ]","     1,025","      176","[ 679 , 1,371 ]"
"Participated for  for own illness or maternal disability leave","0.002029","0.0001215","[ 0.0018 , 0.0023 ]","     8,682","      521","[ 7,662 , 9,702 ]"
"Participated for ill relative or child bonding leave","0.000358","0.0000472","[ 0.00027 , 0.00045 ]","     1,532","      202","[ 1,136 , 1,928 ]"
"Participated for any reason","0.002624","0.0001511","[ 0.0023 , 0.0029 ]","    10,100","      583","[ 8,957 , 11,243 ]"
"Benefits Received ($), for own illness or maternal disability leave","6.193186","0.5958793","[ 5 , 7.4 ]","26,506,500","2,552,451","[ 21,503,696 , 31,509,305 ]"
"Benefits Received ($), for for ill relative or child bonding leave","0.388780","0.0630977","[ 0.27 , 0.51 ]"," 1,663,958","  270,104","[ 1,134,554 , 2,193,362 ]"
"Benefits Received ($), total","7.318146","0.6832566","[ 6 , 8.7 ]","28,170,458","2,635,157","[ 23,005,551 , 33,335,365 ]"
