"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",NA,NA,"[ NA , NA ]",429,134.668110553315,"[ 165  693 ]"
"Participated for illspouse leave",NA,NA,"[ NA , NA ]",0,0,"[ 0  0 ]"
"Participated for illchild leave",NA,NA,"[ NA , NA ]",0,0,"[ 0  0 ]"
"Participated for illparent leave",NA,NA,"[ NA , NA ]",0,0,"[ 0  0 ]"
"Participated for matdis leave",NA,NA,"[ NA , NA ]",0,0,"[ 0  0 ]"
"Participated for bond leave",NA,NA,"[ NA , NA ]",0,0,"[ 0  0 ]"
"Participated for  for own illness or maternal disability leave",NA,NA,"[ NA , NA ]",429,134.668110553315,"[ 165  693 ]"
"Participated for ill relative or child bonding leave",NA,NA,"[ NA , NA ]",0,0,"[ 0  0 ]"
"Participated for any reason",0.000128987060703596,4.04627403405645e-05,"[ 0.00005 , 0.00021 ]",429,134.668110553315,"[ 165  693 ]"
"Benefits Received ($), for own illness or maternal disability leave",NA,NA,"[ NA , NA ]",1738251.13846154,622739.576550678,"[ 517,682  2,958,821 ]"
"Benefits Received ($), for for ill relative or child bonding leave",NA,NA,"[ NA , NA ]",0,0,"[ 0  0 ]"
"Benefits Received ($), total",0.522638473461149,0.187057718980526,"[ 0.16 , 0.89 ]",1738251.13846154,622739.576550678,"[ 517,682  2,958,821 ]"
