"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0170172792778943,0.000420302369059155,"[ 0.016 , 0.018 ]",47155,1175.6266839435,"[ 44,851 , 49,459 ]"
"Participated for illspouse leave",0.00216527782138407,0.00013398543056939,"[ 0.0019 , 0.0024 ]",6000,371.621716265344,"[ 5,272 , 6,728 ]"
"Participated for illchild leave",0.00321327228693396,0.000195766984504496,"[ 0.0028 , 0.0036 ]",8904,540.710828447147,"[ 7,844 , 9,964 ]"
"Participated for illparent leave",0.00354492067324262,0.000198132871665048,"[ 0.0032 , 0.0039 ]",9823,547.386928963416,"[ 8,750 , 10,896 ]"
"Participated for matdis leave",0.0121551479299764,0.000433946016410861,"[ 0.011 , 0.013 ]",33682,1220.24202517369,"[ 31,290 , 36,074 ]"
"Participated for bond leave",0.00604942535331019,0.000256866754083855,"[ 0.0055 , 0.0066 ]",16763,709.561977560805,"[ 15,372 , 18,154 ]"
"Participated for  for own illness or maternal disability leave",0.0287628288199922,0.000584851072436799,"[ 0.028 , 0.03 ]",79702,1665.97388935121,"[ 76,437 , 82,967 ]"
"Participated for ill relative or child bonding leave",0.0147740514549404,0.000404627383290365,"[ 0.014 , 0.016 ]",40939,1111.57662803785,"[ 38,760 , 43,118 ]"
"Participated for any reason",0.0424816682166447,0.000691735519141561,"[ 0.041 , 0.044 ]",117717,1951.68810264345,"[ 113,892 , 121,542 ]"
"Benefits Received ($), for own illness or maternal disability leave",106.31080117741,2.40749619456343,"[ 102 , 111 ]",294587974.238213,6839075.23608409,"[ 281,183,387 , 307,992,562 ]"
"Benefits Received ($), for for ill relative or child bonding leave",20.1532207233379,0.611868442229679,"[ 19 , 21 ]",55844715.6969145,1667246.48874245,"[ 52,576,913 , 59,112,519 ]"
"Benefits Received ($), total",126.464021900748,2.46299634778896,"[ 122 , 131 ]",350432689.935127,6977783.88695751,"[ 336,756,234 , 364,109,146 ]"
