"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0170","0.00042","[ 0.016 , 0.018 ]","     47,155","    1,176","[ 44,851 , 49,459 ]"
"Participated for illspouse leave","  0.0022","0.00013","[ 0.0019 , 0.0024 ]","      6,000","      372","[ 5,272 , 6,728 ]"
"Participated for illchild leave","  0.0032","0.00020","[ 0.0028 , 0.0036 ]","      8,904","      541","[ 7,844 , 9,964 ]"
"Participated for illparent leave","  0.0035","0.00020","[ 0.0032 , 0.0039 ]","      9,823","      547","[ 8,750 , 10,896 ]"
"Participated for matdis leave","  0.0122","0.00043","[ 0.011 , 0.013 ]","     33,682","    1,220","[ 31,290 , 36,074 ]"
"Participated for bond leave","  0.0060","0.00026","[ 0.0055 , 0.0066 ]","     16,763","      710","[ 15,372 , 18,154 ]"
"Participated for  for own illness or maternal disability leave","  0.0288","0.00058","[ 0.028 , 0.03 ]","     79,702","    1,666","[ 76,437 , 82,967 ]"
"Participated for ill relative or child bonding leave","  0.0148","0.00040","[ 0.014 , 0.016 ]","     40,939","    1,112","[ 38,760 , 43,118 ]"
"Participated for any reason","  0.0425","0.00069","[ 0.041 , 0.044 ]","    117,717","    1,952","[ 113,892 , 121,542 ]"
"Benefits Received ($), for own illness or maternal disability leave","106.3108","2.40750","[ 102 , 111 ]","294,587,974","6,839,075","[ 281,183,387 , 307,992,562 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 20.1532","0.61187","[ 19 , 21 ]"," 55,844,716","1,667,246","[ 52,576,913 , 59,112,519 ]"
"Benefits Received ($), total","126.4640","2.46300","[ 122 , 131 ]","350,432,690","6,977,784","[ 336,756,234 , 364,109,146 ]"
