"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00252339632322464,0.000144391496790464,"[ 0.0022 , 0.0028 ]",10800,616.589652848635,"[ 9,591 , 12,009 ]"
"Participated for illspouse leave",0.000137384910931119,3.30568630500638e-05,"[ 0.000073 , 0.0002 ]",588,141.582308216811,"[ 310 , 866 ]"
"Participated for illchild leave",0.000168693717163721,3.39180310427035e-05,"[ 0.0001 , 0.00024 ]",722,144.969651996547,"[ 438 , 1,006 ]"
"Participated for illparent leave",9.3459123082394e-05,3.02973822723904e-05,"[ 0.000034 , 0.00015 ]",400,129.697725500488,"[ 146 , 654 ]"
"Participated for matdis leave",0.00103202236663734,6.98146207334402e-05,"[ 0.0009 , 0.0012 ]",4417,298.390013237709,"[ 3,832 , 5,002 ]"
"Participated for bond leave",0.000351873598405214,4.28020894662845e-05,"[ 0.00027 , 0.00044 ]",1506,183.137516637089,"[ 1,147 , 1,865 ]"
"Participated for  for own illness or maternal disability leave",0.0033533133361963,0.000164694892529144,"[ 0.003 , 0.0037 ]",14352,702.829246687985,"[ 12,974 , 15,730 ]"
"Participated for ill relative or child bonding leave",0.000733654116196793,7.79992610483498e-05,"[ 0.00058 , 0.00089 ]",3140,333.656410098772,"[ 2,486 , 3,794 ]"
"Participated for any reason",0.00464671776702027,0.000208091599422128,"[ 0.0042 , 0.0051 ]",16585,739.992026984075,"[ 15,135 , 18,035 ]"
"Benefits Received ($), for own illness or maternal disability leave",11.6012579301745,0.850114382119302,"[ 9.9 , 13 ]",49652757.4732188,3640080.99928343,"[ 42,518,199 , 56,787,316 ]"
"Benefits Received ($), for for ill relative or child bonding leave",1.09316783132123,0.1286832060915,"[ 0.84 , 1.3 ]",4678699.28699197,550432.368021787,"[ 3,599,852 , 5,757,547 ]"
"Benefits Received ($), total",15.2223663211194,1.04623409732416,"[ 13 , 17 ]",54331456.7602108,3735247.49064806,"[ 47,010,372 , 61,652,542 ]"
