"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.002523","0.000144","[ 0.0022 , 0.0028 ]","    10,800","      617","[ 9,591 , 12,009 ]"
"Participated for illspouse leave"," 0.000137","0.000033","[ 0.000073 , 0.0002 ]","       588","      142","[ 310 , 866 ]"
"Participated for illchild leave"," 0.000169","0.000034","[ 0.0001 , 0.00024 ]","       722","      145","[ 438 , 1,006 ]"
"Participated for illparent leave"," 0.000093","0.000030","[ 0.000034 , 0.00015 ]","       400","      130","[ 146 , 654 ]"
"Participated for matdis leave"," 0.001032","0.000070","[ 0.0009 , 0.0012 ]","     4,417","      298","[ 3,832 , 5,002 ]"
"Participated for bond leave"," 0.000352","0.000043","[ 0.00027 , 0.00044 ]","     1,506","      183","[ 1,147 , 1,865 ]"
"Participated for  for own illness or maternal disability leave"," 0.003353","0.000165","[ 0.003 , 0.0037 ]","    14,352","      703","[ 12,974 , 15,730 ]"
"Participated for ill relative or child bonding leave"," 0.000734","0.000078","[ 0.00058 , 0.00089 ]","     3,140","      334","[ 2,486 , 3,794 ]"
"Participated for any reason"," 0.004647","0.000208","[ 0.0042 , 0.0051 ]","    16,585","      740","[ 15,135 , 18,035 ]"
"Benefits Received ($), for own illness or maternal disability leave","11.601258","0.850114","[ 9.9 , 13 ]","49,652,757","3,640,081","[ 42,518,199 , 56,787,316 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 1.093168","0.128683","[ 0.84 , 1.3 ]"," 4,678,699","  550,432","[ 3,599,852 , 5,757,547 ]"
"Benefits Received ($), total","15.222366","1.046234","[ 13 , 17 ]","54,331,457","3,735,247","[ 47,010,372 , 61,652,542 ]"
