"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Own Health","     NA","     NA","[ NA , NA ]","      429","    135","[ 165  693 ]"
"Ill Spouse","     NA","     NA","[ NA , NA ]","        0","      0","[ 0  0 ]"
"Ill Child","     NA","     NA","[ NA , NA ]","        0","      0","[ 0  0 ]"
"Ill Parent","     NA","     NA","[ NA , NA ]","        0","      0","[ 0  0 ]"
"Maternity Disability","     NA","     NA","[ NA , NA ]","        0","      0","[ 0  0 ]"
"Child Bonding","     NA","     NA","[ NA , NA ]","        0","      0","[ 0  0 ]"
"Own Illness or Maternal Disability","     NA","     NA","[ NA , NA ]","      429","    135","[ 165  693 ]"
"Ill Relative or Child Bonding","     NA","     NA","[ NA , NA ]","        0","      0","[ 0  0 ]"
"Any Reason","0.00013","0.00004","[ 0.00005 , 0.00021 ]","      429","    135","[ 165  693 ]"
"Own Illness or Maternal Disability","     NA","     NA","[ NA , NA ]","1,738,251","622,740","[ 517,682  2,958,821 ]"
"Ill Relative or Child Bonding","     NA","     NA","[ NA , NA ]","        0","      0","[ 0  0 ]"
"Any Reason","0.52264","0.18706","[ 0.16 , 0.89 ]","1,738,251","622,740","[ 517,682  2,958,821 ]"
