"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.129976993489647,0.0026675115665636,"[ 0.12 , 0.14 ]",53106,1094.61564030485,"[ 50,961 , 55,251 ]"
"Participated for illspouse leave",0.0209457144255715,0.00120823954196176,"[ 0.019 , 0.023 ]",8558,495.630860621088,"[ 7,587 , 9,529 ]"
"Participated for illchild leave",0.0266973420138039,0.00132254406445295,"[ 0.024 , 0.029 ]",10908,540.396752395867,"[ 9,849 , 11,967 ]"
"Participated for illparent leave",0.0385701698565764,0.0016367310884486,"[ 0.035 , 0.042 ]",15759,676.9905464628,"[ 14,432 , 17,086 ]"
"Participated for matdis leave",0.0342674629203583,0.00170656639481488,"[ 0.031 , 0.038 ]",14001,713.624761341701,"[ 12,602 , 15,400 ]"
"Participated for bond leave",0.0167458025356111,0.000888368795739449,"[ 0.015 , 0.018 ]",6842,361.584568254786,"[ 6,133 , 7,551 ]"
"Participated for  for own illness or maternal disability leave",0.157433060844877,0.00313587673451399,"[ 0.15 , 0.16 ]",64324,1305.24152937301,"[ 61,766 , 66,882 ]"
"Participated for ill relative or child bonding leave",0.0963189583435313,0.00247049840553889,"[ 0.091 , 0.1 ]",39354,1013.47511069587,"[ 37,368 , 41,340 ]"
"Participated for any reason",0.245638553037349,0.00356949508971961,"[ 0.24 , 0.25 ]",100363,1491.78431752047,"[ 97,439 , 103,287 ]"
"Benefits Received ($), for own illness or maternal disability leave",1186.29875779613,31.8094083210338,"[ 1,124 , 1,249 ]",484697946.460342,13493398.3570207,"[ 458,250,886 , 511,145,007 ]"
"Benefits Received ($), for for ill relative or child bonding leave",206.094125958381,5.77242082825603,"[ 195 , 217 ]",84205937.9840755,2322006.49540801,"[ 79,654,805 , 88,757,071 ]"
"Benefits Received ($), total",1392.39288375451,32.0231369030754,"[ 1,330 , 1,455 ]",568903884.444417,13618569.82653,"[ 542,211,488 , 595,596,281 ]"
