"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","    0.130"," 0.00267","[ 0.12 , 0.14 ]","     53,106","     1,095","[ 50,961 , 55,251 ]"
"Participated for illspouse leave","    0.021"," 0.00121","[ 0.019 , 0.023 ]","      8,558","       496","[ 7,587 , 9,529 ]"
"Participated for illchild leave","    0.027"," 0.00132","[ 0.024 , 0.029 ]","     10,908","       540","[ 9,849 , 11,967 ]"
"Participated for illparent leave","    0.039"," 0.00164","[ 0.035 , 0.042 ]","     15,759","       677","[ 14,432 , 17,086 ]"
"Participated for matdis leave","    0.034"," 0.00171","[ 0.031 , 0.038 ]","     14,001","       714","[ 12,602 , 15,400 ]"
"Participated for bond leave","    0.017"," 0.00089","[ 0.015 , 0.018 ]","      6,842","       362","[ 6,133 , 7,551 ]"
"Participated for  for own illness or maternal disability leave","    0.157"," 0.00314","[ 0.15 , 0.16 ]","     64,324","     1,305","[ 61,766 , 66,882 ]"
"Participated for ill relative or child bonding leave","    0.096"," 0.00247","[ 0.091 , 0.1 ]","     39,354","     1,013","[ 37,368 , 41,340 ]"
"Participated for any reason","    0.246"," 0.00357","[ 0.24 , 0.25 ]","    100,363","     1,492","[ 97,439 , 103,287 ]"
"Benefits Received ($), for own illness or maternal disability leave","1,186.299","31.80941","[ 1,124 , 1,249 ]","484,697,946","13,493,398","[ 458,250,886 , 511,145,007 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  206.094"," 5.77242","[ 195 , 217 ]"," 84,205,938"," 2,322,006","[ 79,654,805 , 88,757,071 ]"
"Benefits Received ($), total","1,392.393","32.02314","[ 1,330 , 1,455 ]","568,903,884","13,618,570","[ 542,211,488 , 595,596,281 ]"
