"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0333847131395494,0.00184340929568702,"[ 0.03 , 0.037 ]",10981,598.76852789705,"[ 9,807 , 12,155 ]"
"Participated for illspouse leave",0.00521702647732144,0.000746374394122942,"[ 0.0038 , 0.0067 ]",1716,243.295704853168,"[ 1,239 , 2,193 ]"
"Participated for illchild leave",0.00439616566795268,0.000636349581165473,"[ 0.0031 , 0.0056 ]",1446,209.787154039517,"[ 1,035 , 1,857 ]"
"Participated for illparent leave",0.020810341630108,0.00143254247865817,"[ 0.018 , 0.024 ]",6845,477.309962183904,"[ 5,909 , 7,781 ]"
"Participated for matdis leave",0.0270519240065304,0.00126249813406557,"[ 0.025 , 0.03 ]",8898,431.174210731579,"[ 8,053 , 9,743 ]"
"Participated for bond leave",0.00092118824162494,0.000257799330898884,"[ 0.00042 , 0.0014 ]",303,84.1463011664803,"[ 138 , 468 ]"
"Participated for  for own illness or maternal disability leave",0.0575514634124096,0.00208891728160565,"[ 0.053 , 0.062 ]",18930,695.538172927985,"[ 17,567 , 20,293 ]"
"Participated for ill relative or child bonding leave",0.031344722017007,0.00156910677911971,"[ 0.028 , 0.034 ]",10310,516.902166758856,"[ 9,297 , 11,323 ]"
"Participated for any reason",0.0848070825086722,0.00249700801389821,"[ 0.08 , 0.09 ]",27895,831.733671315524,"[ 26,265 , 29,525 ]"
"Benefits Received ($), for own illness or maternal disability leave",284.04277558121,12.6162691201521,"[ 259 , 309 ]",93428201.8724984,4147040.10403835,"[ 85,300,003 , 101,556,400 ]"
"Benefits Received ($), for for ill relative or child bonding leave",27.7470158812953,1.56716445742016,"[ 25 , 31 ]",9126631.70472328,518257.102204188,"[ 8,110,848 , 10,142,416 ]"
"Benefits Received ($), total",311.789791462505,12.9460755229318,"[ 286 , 337 ]",102554833.577222,4259443.9308361,"[ 94,206,323 , 110,903,344 ]"
