"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0110370673490319,0.00185568303382446,"[ 0.0074 , 0.015 ]",8523,518.451829970731,"[ 7,507 , 9,539 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0110370673490319,0.00185568303382446,"[ 0.0074 , 0.015 ]",8523,518.451829970731,"[ 7,507 , 9,539 ]"
"Participated for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for any reason",0.0110370673490319,0.00185568303382446,"[ 0.0074 , 0.015 ]",8523,518.451829970731,"[ 7,507 , 9,539 ]"
"Benefits Received ($), for own illness or maternal disability leave",34.2099636125246,6.10469386077739,"[ 22 , 46 ]",26417481.2610093,2461537.00431534,"[ 21,592,869 , 31,242,094 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Benefits Received ($), total",34.2099636125246,6.10469386077739,"[ 22 , 46 ]",26417481.2610093,2461537.00431534,"[ 21,592,869 , 31,242,094 ]"
