"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.011","0.0019","[ 0.0074 , 0.015 ]","     8,523","      518","[ 7,507 , 9,539 ]"
"Participated for illspouse leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illchild leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.011","0.0019","[ 0.0074 , 0.015 ]","     8,523","      518","[ 7,507 , 9,539 ]"
"Participated for ill relative or child bonding leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for any reason"," 0.011","0.0019","[ 0.0074 , 0.015 ]","     8,523","      518","[ 7,507 , 9,539 ]"
"Benefits Received ($), for own illness or maternal disability leave","34.210","6.1047","[ 22 , 46 ]","26,417,481","2,461,537","[ 21,592,869 , 31,242,094 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Benefits Received ($), total","34.210","6.1047","[ 22 , 46 ]","26,417,481","2,461,537","[ 21,592,869 , 31,242,094 ]"
