"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.03338"," 0.00184","[ 0.03 , 0.037 ]","     10,981","      599","[ 9,807 , 12,155 ]"
"Participated for illspouse leave","  0.00522"," 0.00075","[ 0.0038 , 0.0067 ]","      1,716","      243","[ 1,239 , 2,193 ]"
"Participated for illchild leave","  0.00440"," 0.00064","[ 0.0031 , 0.0056 ]","      1,446","      210","[ 1,035 , 1,857 ]"
"Participated for illparent leave","  0.02081"," 0.00143","[ 0.018 , 0.024 ]","      6,845","      477","[ 5,909 , 7,781 ]"
"Participated for matdis leave","  0.02705"," 0.00126","[ 0.025 , 0.03 ]","      8,898","      431","[ 8,053 , 9,743 ]"
"Participated for bond leave","  0.00092"," 0.00026","[ 0.00042 , 0.0014 ]","        303","       84","[ 138 , 468 ]"
"Participated for  for own illness or maternal disability leave","  0.05755"," 0.00209","[ 0.053 , 0.062 ]","     18,930","      696","[ 17,567 , 20,293 ]"
"Participated for ill relative or child bonding leave","  0.03134"," 0.00157","[ 0.028 , 0.034 ]","     10,310","      517","[ 9,297 , 11,323 ]"
"Participated for any reason","  0.08481"," 0.00250","[ 0.08 , 0.09 ]","     27,895","      832","[ 26,265 , 29,525 ]"
"Benefits Received ($), for own illness or maternal disability leave","284.04278","12.61627","[ 259 , 309 ]"," 93,428,202","4,147,040","[ 85,300,003 , 101,556,400 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 27.74702"," 1.56716","[ 25 , 31 ]","  9,126,632","  518,257","[ 8,110,848 , 10,142,416 ]"
"Benefits Received ($), total","311.78979","12.94608","[ 286 , 337 ]","102,554,834","4,259,444","[ 94,206,323 , 110,903,344 ]"
