"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.040893060129995,0.00168165777683658,"[ 0.038 , 0.044 ]",21045,855.434509474571,"[ 19,368 , 22,722 ]"
"Participated for illspouse leave",0.0042088081844414,0.00040266347403783,"[ 0.0034 , 0.005 ]",2166,205.988956014637,"[ 1,762 , 2,570 ]"
"Participated for illchild leave",0.0217591108261195,0.00107241532241464,"[ 0.02 , 0.024 ]",11198,551.571935471703,"[ 10,117 , 12,279 ]"
"Participated for illparent leave",0.0124029652083515,0.00096840406109646,"[ 0.011 , 0.014 ]",6383,502.538108007741,"[ 5,398 , 7,368 ]"
"Participated for matdis leave",0.00913657252227307,0.00076835560409484,"[ 0.0076 , 0.011 ]",4702,398.066640149611,"[ 3,922 , 5,482 ]"
"Participated for bond leave",0.00196838536049822,0.000358010661551392,"[ 0.0013 , 0.0027 ]",1013,183.661781544229,"[ 653 , 1,373 ]"
"Participated for  for own illness or maternal disability leave",0.0500296326522681,0.00193771093679678,"[ 0.046 , 0.054 ]",25747,991.709559296471,"[ 23,803 , 27,691 ]"
"Participated for ill relative or child bonding leave",0.0375955774480943,0.00131549813103048,"[ 0.035 , 0.04 ]",19348,682.504322330636,"[ 18,010 , 20,686 ]"
"Participated for any reason",0.0820503852244795,0.00247384401702735,"[ 0.077 , 0.087 ]",42226,1274.4881717772,"[ 39,728 , 44,724 ]"
"Benefits Received ($), for own illness or maternal disability leave",240.809730306777,12.6317837345684,"[ 216 , 266 ]",123929115.556428,6438167.03530694,"[ 111,310,308 , 136,547,923 ]"
"Benefits Received ($), for for ill relative or child bonding leave",71.5436354263067,2.46277186776265,"[ 67 , 76 ]",36818858.8176173,1274179.4013777,"[ 34,321,467 , 39,316,250 ]"
"Benefits Received ($), total",312.353365733084,13.6310889005045,"[ 286 , 339 ]",160747974.374046,6945007.46975737,"[ 147,135,760 , 174,360,189 ]"
