"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0136865851005418,0.0022666473130518,"[ 0.0092 , 0.018 ]",10569,623.497353643141,"[ 9,347 , 11,791 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0136865851005418,0.0022666473130518,"[ 0.0092 , 0.018 ]",10569,623.497353643141,"[ 9,347 , 11,791 ]"
"Participated for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for any reason",0.0136865851005418,0.0022666473130518,"[ 0.0092 , 0.018 ]",10569,623.497353643141,"[ 9,347 , 11,791 ]"
"Benefits Received ($), for own illness or maternal disability leave",43.4905385835482,7.50219112281183,"[ 29 , 58 ]",33584089.7428332,3011934.46660355,"[ 27,680,698 , 39,487,481 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Benefits Received ($), total",43.4905385835482,7.50219112281183,"[ 29 , 58 ]",33584089.7428332,3011934.46660355,"[ 27,680,698 , 39,487,481 ]"
