"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.014","0.0023","[ 0.0092 , 0.018 ]","    10,569","      623","[ 9,347 , 11,791 ]"
"Participated for illspouse leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illchild leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.014","0.0023","[ 0.0092 , 0.018 ]","    10,569","      623","[ 9,347 , 11,791 ]"
"Participated for ill relative or child bonding leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for any reason"," 0.014","0.0023","[ 0.0092 , 0.018 ]","    10,569","      623","[ 9,347 , 11,791 ]"
"Benefits Received ($), for own illness or maternal disability leave","43.491","7.5022","[ 29 , 58 ]","33,584,090","3,011,934","[ 27,680,698 , 39,487,481 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.000","0.0000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Benefits Received ($), total","43.491","7.5022","[ 29 , 58 ]","33,584,090","3,011,934","[ 27,680,698 , 39,487,481 ]"
