"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0409"," 0.00168","[ 0.038 , 0.044 ]","     21,045","      855","[ 19,368 , 22,722 ]"
"Participated for illspouse leave","  0.0042"," 0.00040","[ 0.0034 , 0.005 ]","      2,166","      206","[ 1,762 , 2,570 ]"
"Participated for illchild leave","  0.0218"," 0.00107","[ 0.02 , 0.024 ]","     11,198","      552","[ 10,117 , 12,279 ]"
"Participated for illparent leave","  0.0124"," 0.00097","[ 0.011 , 0.014 ]","      6,383","      503","[ 5,398 , 7,368 ]"
"Participated for matdis leave","  0.0091"," 0.00077","[ 0.0076 , 0.011 ]","      4,702","      398","[ 3,922 , 5,482 ]"
"Participated for bond leave","  0.0020"," 0.00036","[ 0.0013 , 0.0027 ]","      1,013","      184","[ 653 , 1,373 ]"
"Participated for  for own illness or maternal disability leave","  0.0500"," 0.00194","[ 0.046 , 0.054 ]","     25,747","      992","[ 23,803 , 27,691 ]"
"Participated for ill relative or child bonding leave","  0.0376"," 0.00132","[ 0.035 , 0.04 ]","     19,348","      683","[ 18,010 , 20,686 ]"
"Participated for any reason","  0.0821"," 0.00247","[ 0.077 , 0.087 ]","     42,226","    1,274","[ 39,728 , 44,724 ]"
"Benefits Received ($), for own illness or maternal disability leave","240.8097","12.63178","[ 216 , 266 ]","123,929,116","6,438,167","[ 111,310,308 , 136,547,923 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 71.5436"," 2.46277","[ 67 , 76 ]"," 36,818,859","1,274,179","[ 34,321,467 , 39,316,250 ]"
"Benefits Received ($), total","312.3534","13.63109","[ 286 , 339 ]","160,747,974","6,945,007","[ 147,135,760 , 174,360,189 ]"
